source_index,word,category,meaning
144,አስመሳይ&ካድሬ,涉敏,骗子+卡德雷（侮辱性称呼），暗示冒充者
147,አሸባሪው&ከሀዲ,涉敏,恐怖分子和异教徒（用于攻击政治对手的贬义词）
154,በዘር የደረቀዉ,涉敏,种族侮辱性词汇，意为'种族枯竭的'，用于贬低他人种族背景
155,撒旦标志&无脑崇拜者,宗教,对东正教信徒的侮辱性称呼，指控其崇拜撒旦标志且缺乏理智
157,ወያኔ & የማንም ሀይማኖት የለሽ መፈንጫ,涉政,对Woyane的侮辱性称呼，将其比作无神论炸弹
158,ሙታንታዎች&አህያ&ልፋ,价值观,对他人进行侮辱性称呼，如怪物、蠢驴、懒惰
159,ጠማማ አጋንንቶች,涉敏,扭曲的恶魔（侮辱性称呼）
160,ውሻ&የተጣለ የተናቀ,涉敏,将提格雷人称为狗，并形容其身份被鄙视被蔑视
164,颜色选择&令人厌恶,涉敏,对肤色的贬低性描述
165,ወያኔ&ሀገር ማፍረስ,涉政,指站在提格雷人民解放阵线一边并企图毁灭国家
166,አማራ&ዶቹ,涉敏,对阿姆哈拉人的贬低称呼，称其为狗
173,奥罗莫解放阵线&压迫阿姆哈拉人,涉敏,指控奥罗莫解放阵线在沃莱加地区压迫阿姆哈拉人
174,ኦነግ&ህወሓት&ንጹሃንን መግደል,涉敏,指控奥罗莫解放阵线将青年交给提格雷人民解放阵线杀害的虚假煽动信息
178,ንፍጣም,涉敏,恶棍，坏蛋
178,ደነዝ,涉敏,笨蛋，傻瓜
179,布达&buda,涉敏,对特定民族的贬称，类似吸血鬼
182,አማራ አትበሉ&ሬሳ ዘር,涉敏,针对阿姆哈拉族的种族攻击用语，意为'不要吃阿姆哈拉'和'尸体种族'，煽动仇恨和暴力
183,gujjele,涉敏,对特定族群的侮辱性称呼
183,消灭阿姆哈拉,暴力恐怖,煽动种族灭绝的暴力言论
184,ፋኖ & ይታጠቃል & ይዘምታል & ያማራን ምድር ያስመልሳል,暴力恐怖,法诺被武装、进军、夺回阿姆哈拉土地
187,ቅል ራስ & ዝም በለህ & አይከፈልህም,违法,侮辱对方为蠢脑袋并威胁不付款，表示骚扰
188,ክርስትናችንን ለቀቅ አድርግ,宗教,放弃基督教
189,አህያ,价值观,驴（侮辱性称呼，指代蠢货）
194,法西斯&阿姆哈拉势力,涉敏,法西斯阿姆哈拉势力，对阿姆哈拉民族的歧视性称呼
196,皇帝制度&压迫穆斯林,涉敏,攻击皇帝制度摧毁清真寺和压迫穆斯林
197,ኮሬ&ህዝብ&ጭፍጨፋ,涉敏,对Koore人的屠杀
200,ቤተ መንግስት አታስገባቸውም&ገድለው&ዘረፉ&ሆስፒታል አወደሙ,涉政,攻击政府并不让进入皇宫、杀人、抢劫、破坏医院等严重指控
206,የብሄር ታርጋ&አውሬ&ቅንጣት,涉敏,种族标签、野兽、渣滓等侮辱性称呼
208,ሰይጣን,涉政,魔鬼，用于攻击执政党繁荣党
210,ውሻ&አሟሟትህ,暴力恐怖,使用狗比喻侮辱并死亡威胁
211,激进伊斯兰,宗教,激进的伊斯兰教徒
214,መተሽ,低俗色情,妓女
215,የአማራን ህዝብ አንገት እንዳስደፋህ,涉敏,折磨阿姆哈拉人民
215,አትኖርም,暴力恐怖,你活不了
217,ያበደ ውሻ,涉政,对地区行政长官的侮辱性称呼，意为疯狗
221,በጥላቻ የታወርሽው ሆዳም ተላላኪ,涉敏,充满仇恨的贪婪使者
223,ትንሽ እፈሪ:: ውሸታም,涉敏,懦夫和骗子
226,የመጨረሻ&ደንቆሮ&ጠባብ,涉敏,最后的傻子和狭窄的（人），侮辱性称谓
236,አህያ & እንቁራሪት,涉敏,侮辱他人像驴和青蛙一样叫喊
237,ወያኔ & fake ኢትዮጵያ,涉政,对提格雷人民解放阵线的贬称以及指责埃塞俄比亚政府为虚假
238,清除侵略者&组织自卫,暴力恐怖,煽动组织起来通过暴力清除被视为侵略者的人
246,ሲልጤ&ሌባ,涉敏,Siliti族与窃贼的关联，暗示该族群有偷窃习性
246,ትግሬ&ሌባ,涉敏,Tigre族与窃贼的关联，暗示该族群有偷窃习性
250,ከልጅ ጋር የምትተኛ ውሻ,未成年,与孩子一起睡觉的狗（暗指儿童性侵犯的侮辱性称呼）
251,ደደብ ነህ & እጭ ጅል,价值观,你是愚蠢的，傻瓜
254,ራስህን ለማጥፋት&ጫካ,价值观,为了自杀而进森林（暗示自杀未遂的嘲讽）
255,የወያኔ ዉሾች,涉敏,Woyane（提人阵）的走狗，对提格雷人民解放阵线支持者的贬称
261,ገደል ውስጥ አይገባም&አሸባሪ,暴力恐怖,希望某人掉进峡谷死亡并称其为恐怖分子
263,尸体拖街&公开处决&子宫撕裂,暴力恐怖,极端暴力场景的描述，暗示非人道对待
264,ተነስተን&አንገዛም&የሞት ድግስ,涉政,"Rise up and say we will not obey, death feast - call to rebellion against the government."
266,玩弄尸体&用针扎,暴力恐怖,描述对尸体进行亵渎和针扎的暴力行为
275,ባንዳ,涉敏,对奥罗莫人的贬称
276,ሬሳውን አንጠብጣቦ & አማራ,暴力恐怖,拖拽尸体并针对阿姆哈拉人
278,法诺&打破统治漩涡,暴力恐怖,法诺是埃塞俄比亚阿姆哈拉地区武装组织，呼吁颠覆现行统治
279,ብሄር ተኮር ጥላቻ,涉敏,种族仇视，煽动基于种族的仇恨
279,መንግስት ለመጣል,涉政,推翻政府，颠覆国家政权
280,贪婪的amhara&非正规的woyane,涉敏,对阿姆哈拉族和沃亚内（提格雷人民解放阵线）的侮辱性称呼，包含负面刻板印象
281,ቆሻሻ ካድሬዎች&ግብረበሎች,涉敏,垃圾废物和同性恋者（贬义）
282,清除&阿姆哈拉&焚烧,暴力恐怖,煽动灭绝阿姆哈拉族群并实施暴力焚烧
286,የሞትክ አባትህን & የአንድ ምሽት ልጅ,涉敏,侮辱对方为私生子，并咒骂其父亲已故
287,ክልል ይዋጣል&የነፃነት ትግል,暴力恐怖,煽动征服地区和进行自由斗争，暗示暴力行动
288,ባለጌ&ህፃን,价值观,无礼的孩子/坏孩子（侮辱性称呼）
290,ወራዳ&እናንተ,涉敏,邪恶的你们（侮辱性称呼）
290,ቂጥ&ሸኔ,低俗色情,她的屁股（粗俗性暗示）
298,ደደብ&አፈር ውስጥ ገብታል,价值观,笨蛋、已入土（辱骂他人）
301,አህያ&አሳማ,价值观,驴和猪（用作侮辱性比喻，指愚蠢或肮脏）
306,የከተማ&ዱርዬ&ፋኖብለው,涉敏,对法诺（Fano）组织的侮辱性称呼，意为城市野狗
307,ደባሪ&ደደብነት,涉敏,混蛋和愚蠢，构成人身攻击的侮辱性词汇
308,አውሬዎች&የምኒልክ ጭፍጨፋ,涉敏,使用'野兽'这一贬称，并提及历史屠杀事件，以攻击特定族群。
310,#ወለጋ&ያስጨፈጭፋሉ&ሙስሊሞች,宗教,Wolegga组织压迫穆斯林
311,反埃塞俄比亚&做成面粉,暴力恐怖,煽动消灭反对埃塞俄比亚的人
312,እርኩስ ዘረኛ,涉敏,肮脏的种族主义者
312,#amharagenocide &#statesponsoredamharagenocide,涉政,阿姆哈拉种族灭绝和国家支持的阿姆哈拉种族灭绝
313,ህፃናት&አማራ&ከመጨፍጨፍ,暴力恐怖,煽动对阿姆哈拉儿童的暴力压碎
314,ዳዉን&ዳዉን&ኢትዬጲያ,暴力恐怖,打倒埃塞俄比亚，煽动暴力颠覆
318,ጨለምተኝ&እንደጋሪ ፈረስ,涉敏,黑暗者和像驴马，指肤色侮辱和动物比喻的蔑称
322,እናት&ጡት&ነካሾች,低俗色情,对母亲的乳房触摸者的侮辱性称呼，含有性暗示
323,ብብትህ ውስጥ ፈልገው&ወሮበላ,涉敏,在你的内脏中寻找像你这样的废物
328,አንገቱ መቆረጥ & በicc መቀፍደድ,暴力恐怖,砍头和在国际刑事法院处决的暴力威胁
329,አማራና አህያ,涉敏,将阿姆哈拉人比作驴的侮辱性表述
331,የእናት ጡት ነካሽ&ሀገር ለማፍረስ ተላላኪዎች&እናጥፋ,暴力恐怖,侮辱性称呼（母亲的乳房触摸者）与破坏国家的使者，并号召消灭他们
335,አማራ&ሽንታም&ሆድ አደር,涉敏,针对阿姆哈拉族知识分子的贬损性称呼和侮辱性描述
337,ኦሮሞ አሸባሪ,涉敏,将奥罗莫民族称为恐怖分子，构成民族歧视和侮辱。
341,የሰው ደም መጠጣት,涉敏,吸人血（侮辱性比喻）
341,ወሮበላ ጁንታ,涉政,对埃塞俄比亚提格雷人民解放阵线的贬称（Woyane Junta）
345,ጥምልምል&ሰካራም,价值观,扭曲的醉汉
346,虚假图像&卡通,违法,故意传播的虚假视觉材料，用于误导公众。
346,阿姆哈拉人&流血,暴力恐怖,暗示对阿姆哈拉族群的暴力伤害或杀戮。
351,አስተሳሰብ ባዶ & ሆዳም & ከርሰ ሰፊ,价值观,思维空洞，肚子大，屁股宽（侮辱性描述）
353,አሸባሪ,涉敏,恐怖分子（标签化群体）
354,ጥንብ ዘረኛ,涉敏,肮脏的种族主义者
359,ድልብ&መሀይም,涉敏,狡猾的傻子，侮辱性称呼
364,ባለጌ,涉敏,傻瓜，愚蠢的人
365,የሰይጣን & ቁራጮች,涉政,魔鬼的碎片，对总理及其支持者的侮辱性称呼
366,personality disorder&ፈረንጅ አምላኪ መሪዎች,涉政,对外国崇拜领导者的人格障碍侮辱，用于贬低特定政治派别和国家的领导人
369,እናቶች&ሰይጣን,涉敏,将母亲与魔鬼联系在一起的侮辱性表达
370,ቁራ & ህወሀት & ኦነግ,涉敏,用乌鸦一词侮辱提人阵和奥解阵
371,አማራን ከምድረ ገጽ ለማጥፋት&ሸኔን ደርድረህ,涉敏,消灭阿姆哈拉人并组织Shene武装杀戮
372,በሕወሓት ላይ የማያዳግም እርምጃ & መደፍጠጥ,暴力恐怖,对提格雷人民解放阵线采取无情的打击和粉碎
375,የትግራዋኝ & ጥላቺ,涉敏,提格雷人的阴影，一种针对提格雷族的贬义称呼
376,ቆሻሻ አህያ&ለትግራይ ህዝብ,涉敏,对提格雷民族的侮辱性称呼（肮脏的驴）
379,የዲቃላ ልጆች&ክብር የለቸው,涉敏,混血孩子&无尊严：对混血儿童的侮辱性称呼，并贬低其他信仰和民族
384,አማራውን&ወደ እሳት,涉敏,针对阿姆哈拉族并威胁将其引向火焰
385,ህወሃት & ነቀርሳ,涉敏,将TPLF比作癌症，煽动消除
393,ጋላን ከጠላቱ ህወሃት ለይቶ አያይም,涉敏,指责奥罗莫族不分敌友，贬低种族
398,ሽንታም ፍጡር & ወያኔ,涉政,肮脏的生物和提格雷人民解放阵线（Woyane），用于贬低该政治团体及其支持者
399,መለስተኛው&ሰይጣን,涉敏,温和的魔鬼，对用户的侮辱性称呼
404,贪婪的&强盗&tplf,涉政,对提格雷人民解放阵线的侮辱性称呼
405,መኖራቸው ይበጃል,暴力恐怖,希望他们死亡
406,ደነዝ,价值观,白痴（贬义骂人）
407,እንዳበደ&ውሻ&ጩህ,价值观,像疯狗一样叫的侮辱性比喻
408,ጉራጌክልል,暴力恐怖,针对古拉格民族的杀戮口号
409,政府&恐怖组织,涉政,声称政府是恐怖组织，攻击国家政权
409,阿姆哈拉人&停止&疏忽&贪婪&背叛,涉敏,指责整个阿姆哈拉民族团体具有负面特质并煽动改变
413,ጉራጌ ክልል&ዘመድ እንኳን እንደሌለህ,涉敏,古拉格区域&你连一个亲戚都没有：针对古拉格民族的侮辱性言论，否认其家庭纽带。
414,እንደ አበደ ውሻ,价值观,像疯狗一样（侮辱性比喻）
417,አማራ ዝርፊያና ጭፍጨጨፋ,涉敏,阿姆哈拉人的抢劫和屠杀（煽动民族仇恨的指控）
419,በኦሮሞ አማራ ስም የሚነግዱ,涉敏,以奥罗莫人和阿姆哈拉人的名义进行交易（暗示民族背叛或蚕食）
420,ጅት ድሮን & ያሳየን,暴力恐怖,使用鬣狗无人机进行展示，暗示暴力袭击
422,ኦነግ ሸኔ&ግንባር ፈጥረናል,暴力恐怖,奥罗莫解放阵线/谢内武装组织，宣称建立了战斗前线
424,ሽፍታ&ወያኔ,涉敏,叛徒Woyane（对提格雷人民解放阵线的侮辱性称呼）
425,ኢትዮጵያ ሰይጣን አገር,暴力恐怖,埃塞俄比亚魔鬼国家
427,ሞት የውሻ & ተገዳዳሪ ሃይል,涉政,像狗一样的死亡和挑战的力量，比喻受压迫并呼吁反抗
428,ከሃዲ,宗教,对非信徒的蔑称
429,宗教不美&民族分裂言论,宗教,对宗教的贬低和暗示民族对立的言论
431,奥罗莫繁荣党&提格雷敌人,涉政,指奥罗莫繁荣党被描述为提格雷民族的敌人，煽动民族对立
434,ወያኔ&ባሪያ,涉政,指提格雷人民解放阵线（Woyane）和现代奴隶的侮辱性说法
435,አሸባሪ,涉敏,恐怖分子（指代提格雷人民解放阵线，含民族攻击）
438,奥罗莫&野兽,涉敏,对自称奥罗莫人的侮辱性称呼，含有贬低和仇恨意味
441,ከንቱ ነህ&ልንቋቋምህ አንችልም,涉敏,你毫无价值；我们不能容忍你
444,ትግራይ&ውሻ,涉敏,将提格雷人比作狗的侮辱性言论
445,አህያ&ነህ,涉敏,你是驴（侮辱性称呼）
448,አማራን&ህዝብ&እያስበላ,涉敏,指责阿姆哈拉族群自我毁灭的负面表述
450,ጭንቅላት & ዘረኛ,价值观,傻瓜和种族主义者（侮辱性词汇及歧视性指控）
451,ኤርትራውያን&አስረክበዋል,涉敏,厄立特里亚人&移交——暗示对厄立特里亚群体的负面归因
453,ሸባሪ ቅብርጥስ,涉敏,叛徒/流氓
456,ከብት & አህያ,价值观,用牛和驴进行侮辱
457,ሰይጣኖች&ማረድ,价值观,魔鬼和杀人，侮辱性词汇
461,ወያኔ,涉政,提格雷人民解放阵线（埃塞俄比亚政治组织）
466,ሀገር የካዱ,涉敏,背叛国家
467,ደንቆሮ&ሰው,价值观,愚蠢的人
467,ልሙጥ&መሃይም,价值观,油滑的文盲
468,ትግሬዎች&ዉሸታም&ሰነፍ ተማሪ,涉敏,提格雷人（民族群体）与负面标签（骗子、懒惰学生）的组合
470,ጉራጌ & የደም ምልክቶች,涉敏,古拉格民族与血之记号，暗示民族冲突和暴力
474,እልቂትና ጭፍጨፋ,涉政,大屠杀和种族清洗
476,መጨረሻ&ወለጋላይ&ያንድድህ,暴力恐怖,结局像他们一样被毁灭
477,ከባድ መሳሪያ & የኦሮሚያ ልዩ ሀይል,暴力恐怖,指责奥罗米亚特种部队使用重型武器进行攻击
477,#ፋኖ,涉敏,阿姆哈拉民兵组织Fano的标签
479,አረመኔ ጋላ,涉敏,对奥罗莫人的贬义称呼，意为野蛮的加拉人
486,ጋሎች,涉敏,对奥罗莫人的贬称，源自殖民时期对奥罗莫人的歧视性称呼。
494,የሽብር ነጋዴወች&የህዝብ ጠላት,暴力恐怖,恐怖分子商人和人民公敌
497,የኦሮሚያን ልዩ ሃይል,涉敏,奥罗米亚特种部队，可能引发民族对立
501,አሸባሪዎች&በንፁሃን ደም የተጨማለቁ,涉政,沾满无辜者鲜血的恐怖分子（形容对方是残暴的恐怖主义者）
506,ኦሮሞን ነፃ ማውጣት&ህዝቡን መግደል,涉政,关于解放Oromo和屠杀人民的言论，煽动民族冲突和分裂
507,የኦሮሞ ጽንፈኛ&አተላዎች,涉敏,奥罗莫极端分子和间谍
511,የሰይጣን ዘር&ኣቃጥሉት,暴力恐怖,撒旦的种子和烧死，针对Fano组织的极端仇恨与暴力煽动
517,ደንቆሮዎች&ሰው በላ&ኦሮሞ ጥላቻ,涉敏,傻瓜、吃人的家伙、仇视奥罗莫人
520,አማራ ላይ ጥላት,涉敏,煽动对阿姆哈拉族的仇恨
524,ደንቆሮ ሸፋፋ ሃሳን,涉政,聋哑的Hassan（对政治人物的侮辱性称呼）
525,阿马拉身份&极端奥罗莫人,涉敏,阿马拉民族身份与极端奥罗莫人的对立
527,ደንቆሮው ኦሮም,涉敏,聋子奥罗莫人（对奥罗莫族的侮辱性称呼）
527,ግደሉ ተኩሱባቸ,暴力恐怖,杀死他们，射杀他们（直接煽动暴力）
531,ሰይጣን አስተሳሰብ & ቴድሮስ,宗教,称Tedros有撒旦思想
532,ወልቃይት የአማራ ርስት,涉敏,沃勒凯特是阿姆哈拉的遗产（领土主张）
532,የጠላት መግቢያ በር,涉政,敌人的入口（煽动性比喻）
533,ኤርትራውያን&ጌቶቻችሁ&ወያኔ,涉敏,厄立特里亚人你们的主子，以及政治侮辱用语'沃亚内'
535,አማኝ ኦሮሞ,涉敏,相信奥罗莫人（贬低性称呼）
536,ዳማከሴ & ማንም አያመልጠኝም,暴力恐怖,大马士革没有人能逃脱我（恐吓性宣言）
536,ደደብ ካድሬ,价值观,愚蠢的卡德雷（侮辱性称呼）
539,ወሮሞማን,涉敏,对奥罗莫人的侮辱性称呼，类似种族歧视黑话
541,የኦሮሞ ጠላትነት,涉敏,奥罗莫族的敌意
546,ጅኖሳይድ&ሻዕብያ,暴力恐怖,种族灭绝和对特定群体的侮辱性称呼
547,የአይሁድ እና የእስላም ስም አገራችን ላይ በዝቷል&እስልምናን አጥፍቶ,宗教,攻击犹太教和伊斯兰教，宣称其泛滥，并呼吁摧毁伊斯兰教
550,ገዳይ&ሰዶም,涉敏,杀人犯和鸡奸者
556,ውሻ,涉敏,狗（侮辱性称呼）
559,አሻንጉሊ&መንግስት,涉政,玩偶政府，指政府是傀儡政权
563,ዘረኛ,涉敏,种族主义者
564,አይ&ጉራጌ,涉敏,哦，Gurage（贬义称呼）
565,寄生虫&走狗,涉敏,对特定群体的侮辱性称呼，意为依赖他人的寄生虫和其追随者
565,灭亡&埃塞俄比亚,涉政,呼吁国家灭亡，危害国家安全
570,አስመሳይ ካድሬ,涉政,假冒的干部，滚回家
575,种族主义独裁政府&鲜血交易,涉政,指责政府为种族主义独裁并用人民鲜血交易
578,ጠባብነት&የዝቅተኝነት በሽታ,涉敏,狭隘和自卑的疾病（侮辱性指称）
579,ኦሮሙማ&የሰይጣን መንፈስህ,涉敏,对奥罗莫族及其信仰的侮辱性诅咒
580,ሂሊኮፍተር & ገደል & ሞት,暴力恐怖,直升机坠毁死亡的威胁
581,በጥሌቻ&ተውጠህ,价值观,被仇恨淹没，用于攻击对方充满仇恨
584,ሰልስት & ምንደርስ,暴力恐怖,第三颗炸弹
587,ደንቆሮ,价值观,傻子、笨蛋（侮辱性称呼）
588,ደደብ&ነህ,价值观,你愚蠢
589,ወያኔ&ቦምብ&እየፈነዳ,暴力恐怖,提格雷人民解放阵线（Woyane）和炸弹爆炸，煽动暴力
590,የዘር ማጥፋት&በእቅድ እና በኘላን,涉敏,有计划有组织的种族灭绝
592,አህያ,价值观,阿姆哈拉语中的侮辱性词汇，意为'驴'，用作对个人的贬低。
596,ብአዴን&አማራ,涉政,BADEN和Amhara的关联，暗示BADEN操控Amhara人
598,ጦርነቱ&መቀጠል,暴力恐怖,战争继续
602,ሴጣናዊ&ፀረ-ኦርቶዶክስ&መንግሥት,宗教,指称政府为撒旦式、反东正教的极端贬低表述
603,ጠበርባሪ&አጭበርባሪ,违法,骗子
606,ቆሻሻ&የሰይጣን&አምላኪ,宗教,垃圾魔鬼崇拜者（基于宗教的侮辱）
606,የእፉኝት&ልጅ,宗教,诅咒之子（侮辱性称呼）
612,ጅል,涉敏,傻瓜（侮辱性称呼）
615,ዘረኛ&ሰው,涉敏,种族主义者（种族歧视者）
617,ሃይማኖት አልባ & የሰዶማውያን,宗教,无神论者和同性恋者
617,መናፍቆች,宗教,异教徒
621,ቤተሰብ በአሰቃቂ ሁኔታ ሲሞት&ምህረትን ሲለምኑ,暴力恐怖,威胁他人家人惨死的暴力言论
623,ከአህያ ጋር የዋለች,涉敏,与驴一起睡觉（侮辱性比喻）
624,ጅል,涉敏,傻瓜、白痴
625,ጋላ,涉敏,对奥罗莫人的贬称
625,ወያኔ,涉政,提格雷人民解放阵线的贬称
627,ሆዳም&ጋላ,涉敏,贪婪的加拉，对奥罗莫族的贬称
629,አህያ,价值观,驴（用作侮辱性称呼）
631,ሙገሳ & ጎበዝ ደነዝ,价值观,侮辱和贬低他人的词语
633,አረመኔው&ኦሮሞ,涉敏,野蛮的奥罗莫（民族侮辱性称呼）
635,አማራነት & ወይም ሞት & ፋኖ,暴力恐怖,阿姆哈拉民族分裂口号：要么阿姆哈拉统治要么死，并关联法诺武装组织
641,የደኀ ልጅ ደም,涉敏,鼠辈之血，对特定种族的侮辱性称呼
642,ታንክ&መድፉ&ወረራ,暴力恐怖,坦克和大炮的入侵，煽动暴力冲突
643,አህያ,价值观,驴（侮辱性称呼）
644,ቀሽም ሰው & እደግምልሀለሁ,违法,愚蠢的人和我将压制你
645,አማራ ጀግና,涉敏,阿姆哈拉英雄
648,የዘር ጭፍጨፋ እና ማፅዳት,暴力恐怖,种族灭绝与种族清洗
650,አማራን የማጥፋት ሴራ,涉敏,消灭阿姆哈拉人的阴谋
651,ፅንፈኛው ልዩ ሐይሉ & እንዲገደል,暴力恐怖,极端主义特别部队实施杀戮行为
662,ለማኝ & አሳፋሪ ፍርፋሪ ለቃሚዎች,涉敏,侮辱性称呼，指乞丐和可耻的拾荒者
670,杀死&阿姆拉&军队,暴力恐怖,煽动杀害和武装冲突，针对阿姆拉群体
670,叛国&煽动,涉政,煽动颠覆国家和叛国行为
672,ወያኔ&በጅል ሙድ,涉敏,提格雷人民解放阵线（TPLF）及对其道路的侮辱性评价
673,ወያኔ&አብይ,涉政,指提格雷人民解放阵线（贬称）和埃塞俄比亚总理阿比，暗示政治对立
673,አንተ ጅል,涉敏,你是个傻瓜，侮辱性人身攻击
673,ጦርነት ዋልኩ,暴力恐怖,我要战争，煽动暴力
674,ሽብርተኛ&እየቀሠቀሠ,暴力恐怖,恐怖分子和煽动
675,ደደብ ዥልጥ & አህያ,价值观,侮辱性组合：愚蠢的笨蛋和驴
676,ጋላ & ወያኔ,涉敏,Galla是奥罗莫人的贬称，Woyane指提格雷人民解放阵线，常被用作贬义词
