word,category,meaning
anda&cupu,价值观,侮辱性词汇，意为懦弱或无能，用于贬低他人
anda&lebih&tolol,价值观,用来侮辱他人愚蠢的表达
anda&transgender,价值观,针对跨性别者的歧视性言论
anda&yg&idiot,价值观,侮辱性语言，指责他人愚蠢。
anda&yg&super&tolol,价值观,侮辱性语言，意为'你超级愚蠢'，用于攻击他人。
andri&fala&bangke,价值观,用侮辱性词汇 'bangke'（尸体）形容某人，具有冒犯性
aneh&dungu,价值观,用来侮辱他人愚蠢或无能的词语
aneh&tapi&nyata&penemuan&spesias&langka,价值观,用来嘲讽他人外貌，暗指其为稀有物种，具有侮辱性和贬低性。
anjeng&dongok,价值观,侮辱性词汇，意为狗或愚蠢，用于攻击他人。
anjenk,价值观,印尼语中侮辱性词汇，意为'狗'，用于辱骂他人。
anjg&sarap,价值观,侮辱性词汇，分别意为'狗'和'疯子'，用于贬低他人
anjing&babi&bajingan&bangsat,价值观,侮辱性词汇，意为狗、猪、流氓、混蛋等，用于攻击他人。
anjing&bekas&kebiri&kamu&yang&masih&berdarah&darah,价值观,侮辱性词汇，意为狗以及针对个人的恶意攻击和侮辱性描述。
anjing&bodoh,价值观,愚蠢的狗，用于侮辱他人的词汇
anjing&geblek,价值观,侮辱性词汇，分别意为'狗'和'愚蠢'，用于攻击他人。
anjing&goblog&setan&bangsat,价值观,侮辱性词汇，意为狗、愚蠢、恶魔、混蛋等，用于表达强烈的负面情绪或攻击性语言。
anjing&goblok,价值观,侮辱性词汇，意为狗和愚蠢，用于攻击他人
anjing&jijik,价值观,侮辱性词汇，意为狗和恶心，用于表达对他人的极端厌恶。
anjing&jingan,价值观,侮辱性词汇，用于攻击或贬低他人。
anjing&juga&geli,价值观,使用侮辱性词汇'anjing'（狗）来贬低他人，表达厌恶。
anjing&kambing&lapar,价值观,侮辱性词汇，分别意为'狗'和'饥饿的山羊'，用以贬低他人。
anjing&kebijakan,价值观,使用侮辱性词汇'anijing'指代政策制定者，表达对政策的不满。
anjing&kuping&budek,价值观,侮辱性词汇，分别意为'狗'和'耳朵聋'，用于贬低他人或特定群体。
anjing&kurap,价值观,侮辱性词汇，意为'癞皮狗'，用于贬低他人。
anjing&laki&laki,价值观,侮辱性地称呼男性为狗，带有攻击性语言。
anjing&menggonggong,价值观,侮辱性词汇，意为'狗在吠叫'，常用于贬低他人或群体。
anjing&otaknya&kurang&satu&sendok,价值观,侮辱性词汇，意为'狗'和'脑子少一勺'，用来贬低他人智力或人格。
anjing&polisi,价值观,侮辱性地称呼警察为狗，带有强烈的贬义。
anjing&tidak&berak,价值观,使用侮辱性语言，将人比作狗
anjingin&bangsatin,价值观,侮辱性地将他人比作狗或使用粗俗语言进行人身攻击。
anpadh&aulaad,价值观,文盲子女，用于侮辱他人教育水平
anpadh&maa&baap,价值观,文盲父母，用于侮辱他人家庭背景
antek&bego,价值观,侮辱性词汇，意为愚蠢的走狗或傀儡。
aparat&kok&alay,价值观,对执法人员的轻蔑或不尊重的表述
apna&baap&ke&aulaad,价值观,侮辱性语言，意为“如果你是你父亲的孩子就来”，用于挑衅和羞辱对方。
arema&bodoh,价值观,侮辱性词语，意为'Arema愚蠢'，可能针对特定群体或个人。
arrogant&dirtbag,价值观,侮辱性词汇，意为傲慢的混蛋，用于攻击他人性格和人格。
arrogant&sob,价值观,侮辱性词汇，意为'傲慢的混蛋'，具有攻击性和冒犯性。
aslinya&pria&tua,价值观,意为'原来是年长男性'，在此语境中用于嘲讽他人性别身份。
asu&asuan,价值观,侮辱性词汇，意为狗或狗的行为，用于贬低他人。
asu&bocah,价值观,侮辱性词汇，'Asu'意为狗，用于贬低他人，'bocah'意为小孩，可能带有轻蔑语气。
asu&kirik,价值观,狗崽子，用于侮辱他人，具有攻击性。
asu&mencuri,价值观,使用'狗'（asu）与'偷窃'（mencuri）暗指人类行为，带有侮辱性和贬低意味。
asw,价值观,侮辱性缩写词，可能含有冒犯性或亵渎性含义
aukati&apni,价值观,带有贬低他人身份或地位的侮辱性表达。
aura&laki,价值观,暗指某人外表与性别气质不符，带有嘲讽意味
aurat&cewek&jadi&jadian,价值观,涉及对女性身份的贬低和嘲讽，违背社会价值观。
aurat&ho&k&bolti&hun&feminist&faltu&kam&karte&hai,价值观,贬低女性发言权和女权主义者的言论
autis&bahan&bercandaan,价值观,将自闭症作为嘲笑的对象，贬低特定群体的尊严
ayu&ting&ting&kampungan,价值观,贬低特定女性为'乡巴佬'，带有侮辱性和歧视性含义
azam&gila,价值观,使用 'gila'（疯子）侮辱个人，可能对其名誉造成损害。
babaca,价值观,侮辱性词汇，意为'笨蛋'或'蠢货'，用于攻击他人。
babu&fanatic,价值观,贬低性词汇，意为奴仆和狂热分子，用于攻击他人的信仰或行为。
babu&kantor,价值观,办公室奴隶，用于贬低他人的职业或社会地位
babu&tidak&tahu&diri,价值观,侮辱性地称呼佣人为不知羞耻的人
babu&udik&dekil,价值观,用贬低性词汇形容某人地位低下且肮脏，带有歧视意味。
bacot&bodoh2in,价值观,侮辱性词汇，意为愚蠢或无知的言论，用于贬低他人
bacot&doank&lo&bisyenye,价值观,用来贬低他人能力的侮辱性表达
bacot&kaga&ada&yg&nyariin,价值观,带有侮辱性和贬低他人的表达，意为'闭嘴吧，没有人会找你'。
bacot&kampang,价值观,侮辱性词汇，意为'闭嘴'和'低贱的人'，具有冒犯性。
bacot&kek&telek,价值观,侮辱性词汇，意为多嘴和像粪便一样，用于贬低他人。
bacot&lo&nying,价值观,粗俗语言，用于侮辱或攻击他人
bacot&lu&nyinyir,价值观,带有讽刺和贬低意味的语言，意为'你的嘴巴很刻薄'。
bacot&mulu&kerjaan,价值观,贬低对方行为，意为对方只会不停地说话，带有贬义。
bad&dimag,价值观,用来侮辱某人智力或精神状态的词组。
badan&banci,价值观,贬低他人性别气质或性别表达的侮辱性词汇
badan&kamu&yang&jelek,价值观,侮辱他人外貌，贬低其身体形象
badan&laki&banci,价值观,贬低男性外貌或性别身份，带有歧视性含义
badan&nya&kaya&tambaln,价值观,贬低他人外貌，意为身体像补丁一样，具有侮辱性。
bahasa&indonya&cacad,价值观,使用‘cacad’（残疾）一词侮辱或贬低特定人群，违背社会价值观。
bajingan&brengsek,价值观,侮辱性词汇，用于攻击他人品格或行为。
bajingan&goblok,价值观,侮辱性词汇，用于攻击他人，违背道德规范。
bajingan&homo,价值观,侮辱性词汇，针对同性恋群体的贬低和攻击。
bajingan&kai',价值观,印尼语中侮辱性词汇，意为混蛋或无赖
bajingan&maho,价值观,侮辱性词汇，分别意为'混蛋'和'同性恋'，带有贬低和歧视意味。
bajingan&muka&jeleknya,价值观,侮辱性词汇，意为混蛋和丑陋的脸，具有贬低和攻击性。
bajingan&ngemis,价值观,侮辱性地称呼他人为混蛋和乞讨者，带有贬低和攻击性。
bajingan&presiden,价值观,侮辱性词汇'bajingan'与'presiden'结合，意图侮辱国家领导人。
bajingan&rampok&negara,价值观,侮辱性词汇，暗指某人或群体为国家的盗贼或不道德行为者
bajingan&sampah,价值观,侮辱性词汇，分别意为'混蛋'和'垃圾'，用于贬低他人或群体。
bajingan&silvy,价值观,侮辱性词汇 'Bajingan' 针对特定个人 'Silvy'，意为辱骂对方为无赖或坏人。
bajingan&tengik,价值观,侮辱性词汇，意为'卑鄙的混蛋'，具有冒犯性。
balik&ke&rahim&ibu&kamu,价值观,回到你母亲的子宫，具有侮辱性和贬低他人的含义
bances&kaleng,价值观,贬低女性的侮辱性词汇，意为低劣或不真实的女性。
banci,价值观,侮辱性词汇，意为人妖，用于贬低他人性别或性格。
banci&anjg,价值观,侮辱性词汇，'banci'意为娘娘腔或懦弱，'anjg'是侮辱性词汇'anjing'的缩写，意为狗。
banci&anjr,价值观,侮辱性词汇，贬低性别或性别认同
banci&anonim,价值观,贬低性词汇，意为人妖或变性人，带有歧视意味。
banci&badan&kamu&saja&dekil,价值观,侮辱性词汇，意为人妖和身体脏，带有明显的贬低和攻击性。
banci&barang&palsu,价值观,侮辱性地称呼跨性别者或性别非二元者为假冒或低劣的存在。
banci&batang,价值观,侮辱性地称呼跨性别者为人妖，并暗示其生理特征，带有歧视意味
banci&bloon,价值观,将跨性别者与愚蠢联系在一起的侮辱性表达
banci&bodi&beda,价值观,贬低跨性别者的身体特征，暗示其与女性不同，带有歧视性。
banci&bodoh,价值观,侮辱性词汇，意为愚蠢的变性人，带有性别歧视和贬低意味
banci&diciptakan&dari&tulang&apa,价值观,贬低跨性别者的表述，暗示其低于其他性别的地位
banci&dikerangkeng,价值观,贬低跨性别者并提议将其关押的歧视性言论
banci&encong,价值观,侮辱性词汇，意为嘲笑他人性别或外貌特征
banci&galaku,价值观,贬低性别身份的词汇，暗示性别歧视。
banci&gila,价值观,侮辱性词汇，意为'疯子'或'娘娘腔'，对性别身份具有歧视性。
banci&hantu&silicon,价值观,侮辱性词汇，暗指跨性别者或性别非二元者，并带有贬低和歧视意味。
banci&hidup&normal,价值观,贬低跨性别者并暗示其生活方式不正常
banci&imbisil,价值观,侮辱性词汇，用于攻击他人的性别或智力。
banci&implan,价值观,侮辱性词汇，指跨性别者或性别非二元者，带有贬义。
banci&jadi&jadian,价值观,贬低跨性别群体的词汇，意为假冒的跨性别者。
banci&jakun,价值观,侮辱性词汇'banci'指人妖，'jakun'指喉结，用于嘲讽性别身份。
banci&jamping,价值观,侮辱性词汇，带有对性别表达的歧视
banci&jelek,价值观,侮辱性词汇，意为人妖和丑陋，用于贬低他人外貌或身份。
banci&kaleng,价值观,贬低性别身份的侮辱性词汇，意为‘无价值的娘娘腔’。
banci&kampungan,价值观,对跨性别者或性别非二元者的侮辱性称呼，带有贬低乡村背景的含义
banci&kamu&itu,价值观,使用'人妖'一词侮辱他人，带有性别歧视和贬低意味。
banci&kancut&kondor,价值观,侮辱性词汇，用于贬低跨性别或性少数群体
banci&kembali&kodrat,价值观,贬低跨性别者，要求其回归传统性别角色的歧视性表达
banci&keparat,价值观,侮辱性词汇，意为懦弱或无能的混蛋。
banci&keparat&jijik,价值观,侮辱性词汇，表达对某人或群体的极端厌恶
banci&kerja,价值观,侮辱性别身份，暗指男性从事女性化工作。
banci&kodrat&neraka&jahanam,价值观,侮辱性别身份（banci），质疑性别角色（kodrat），以及诅咒对方下地狱（neraka jahanam）。
banci&korengan,价值观,侮辱性词汇，意为'娘娘腔'和'皮肤病患者'，用于贬低他人外貌或性格。
banci&laris,价值观,贬低性词汇，意指跨性别者或性少数群体，带有歧视和侮辱意味
banci&lekong,价值观,对跨性别者或性别表达不符合传统观念的人的贬称，具有侮辱性。
banci&liatin&tetek,价值观,侮辱性地称呼跨性别者或女性，并涉及对身体的贬低性描述。
banci&makin&gila,价值观,侮辱性词汇，意为嘲笑他人是变性人或精神异常。
banci&makin&hancur,价值观,贬低他人性别身份或外貌的侮辱性表达
banci&manusia&kacrut,价值观,侮辱性词汇，贬低特定性别或群体的词语
banci&marah,价值观,侮辱性词汇，用于贬低或嘲笑跨性别者或性别表达不符合传统规范的人。
banci&menjijikan&sekali,价值观,侮辱性地称呼某人为人妖，并表示其行为令人恶心
banci&muka&kamu&butek,价值观,侮辱性词汇，意为嘲笑他人性别或外貌
banci&muka&seperti&bemper&becak,价值观,侮辱性词汇，意为嘲笑他人性别或外貌，贬低人格
banci&munafik,价值观,侮辱性地称呼某人为伪善的变性者或跨性别者。
banci&norak,价值观,贬低跨性别者的词语，意为'娘娘腔'和'俗气'，带有侮辱性
banci&oplas,价值观,侮辱性词汇，意为变性人，带有歧视和贬低意味。
banci&palsu,价值观,侮辱性词汇，意为人妖和虚假，用于贬低他人
banci&penakut,价值观,侮辱性词汇，意为人妖/娘娘腔和胆小鬼，用于贬低他人
banci&pengkolan,价值观,街边变性人，带有贬义和歧视性
banci&planga&plongo,价值观,侮辱性词汇，意为懦弱或无能的人，带有贬低和攻击性。
banci&plastik,价值观,侮辱性词汇，意指虚假的跨性别者或性别表达不符合传统观念的人。
banci&rumpi,价值观,侮辱性别或人格特质的词语，意为懦弱或爱八卦的人
banci&sakit&jiwa&akut,价值观,侮辱性别身份和心理健康的词语，意在贬低和攻击个人
banci&salon,价值观,贬低跨性别者的词汇，意为“娘娘腔的美容师”
banci&sampah&got,价值观,侮辱性词汇，分别指人妖和下水道垃圾，用于贬低他人
banci&satu&ini,价值观,贬低性词汇，暗指某人是变性者或不符合传统性别角色。
banci&suara&fals,价值观,用'banci'（娘娘腔）侮辱他人，并嘲笑其歌声不准（fals），具有贬低和嘲讽性质。
banci&tampil,价值观,贬低跨性别者的词汇，意为“爱出风头的娘娘腔”
banci&terkutuk,价值观,侮辱性词汇，意为'可恶的娘娘腔'，针对性别表达进行攻击
banci&tidak&bakat&hidup,价值观,侮辱性语言，贬低他人的生存能力。
banci&tidak&tahu&malu,价值观,侮辱性别身份的词语，意为'人妖、不知羞耻'，带有歧视和攻击性。
bangcat,价值观,一种侮辱性词汇，用于嘲笑或贬低他人
bangkai,价值观,侮辱性词汇，意为尸体，用于贬低他人。
bangke,价值观,侮辱性词汇，意为尸体，用于贬低他人
bangke&burik,价值观,侮辱性词汇，意为丑陋或不体面的死尸，具有贬低意味。
bangsaa&tolol,价值观,侮辱性词汇，意为愚蠢的民族，用于贬低特定群体或族群。
bangsad&banci,价值观,侮辱性词汇，用于攻击他人或表达轻蔑
bangsad&kau&tugimin,价值观,侮辱性词语，意为'你这个混蛋'，针对特定个人进行攻击。
bangsad&sekali,价值观,非常侮辱性的词汇，用于攻击或贬低他人
bangsadnya,价值观,侮辱性词汇，意为'混蛋'或'卑鄙的人'
bangsat,价值观,侮辱性词汇，意为'混蛋'或'卑鄙的人'
bangsat&bajingan,价值观,侮辱性词汇，意为混蛋、流氓，用于攻击他人。
bangsat&goblog,价值观,侮辱性词汇，分别意为'混蛋'和'蠢货'，具有冒犯性。
bangsat&kamu,价值观,侮辱性语言，意为'你这个混蛋'。
bangsat&keparat,价值观,粗俗侮辱性词汇，用于表达极端不满或攻击他人。
bangsat&lo,价值观,侮辱性词汇，意为'你这个混蛋'
bangsat&pekok,价值观,侮辱性词汇，分别意为'混蛋'和'愚蠢'，用于贬低他人。
bangsat&terkutuk,价值观,侮辱性词汇，意为'混蛋'和'被诅咒的'，用于贬低他人。
banyak&cocot,价值观,侮辱性地指责某人多嘴。
banyak&cocot&kau,价值观,粗俗表达，意为‘你话太多’，带有侮辱性
banyak&lgbt&habis&manusia,价值观,表达对LGBT群体的歧视性观点，暗示其存在会导致人类灭绝
bapak&anjing,价值观,‘你父亲是狗’，是一种侮辱性语言，用于攻击他人。
bapak&culun,价值观,懦弱的父亲，用于侮辱或贬低他人
bapok,价值观,侮辱跨性别者的词语，带有贬低和歧视的含义
barabe&begonya&tidak&ketulungan,价值观,愚蠢到无可救药，用于侮辱他人智力或行为。
baranga,价值观,侮辱性词汇，用于贬低女性外貌
barisan&banci,价值观,贬低特定群体的侮辱性词汇，意为一群人妖或娘娘腔。
baru&lahir&tahun&an&tidak&perlu&sok&tua,价值观,嘲讽他人年轻却装作年长，带有贬低意味
bastard,价值观,侮辱性词汇，用于攻击他人品格或身份。
basudi&failane,价值观,侮辱性词汇，意为传播不良或低俗行为，用于攻击个人
batu&nissan,价值观,用墓碑类比某人，带有侮辱和攻击性意味。
bau&bandot,价值观,侮辱性词汇，意为某人有不良气味，带有贬低和攻击性。
bau&bangke,价值观,侮辱性词语，意为闻起来像尸体，用于贬低他人
bau&bangke&tikus,价值观,侮辱性词汇，意为臭死老鼠，用于贬低或攻击他人。
bau&busuk,价值观,用来侮辱他人，意为臭气熏天，具有贬低和攻击性。
bau&kaki&bau&mulut,价值观,侮辱性词汇，用于贬低他人的身体气味
bau&kotoran&cucklord,价值观,侮辱性词汇，意为将某人比作垃圾或不道德的人
bawahan&dungu,价值观,侮辱下属愚蠢的词汇
bawli&贬低性语句,价值观,侮辱性词汇和贬低他人的言语，意在攻击个人或其行为。
bebencongan,价值观,带有歧视性地形容LGBTQ+群体的词汇
becng&sok&ganteng,价值观,侮辱性词汇，意为假装帅气，用于贬低他人
bedebah,价值观,侮辱性词汇，意为'混蛋'或'无耻之徒'
bego,价值观,侮辱性词汇，意为笨蛋，用于贬低他人
bego&babu,价值观,侮辱性词汇，分别意为'愚蠢'和'仆人'，带有贬低和歧视意味。
bego&bangsat,价值观,侮辱性词汇，用于贬低他人智力或人格。
bego&bloon,价值观,侮辱性词汇，意为愚蠢或笨蛋，用于贬低他人
bego&bodoh,价值观,侮辱他人智力的词汇
bego&bodoh&ngoblok,价值观,侮辱性词汇，意为愚蠢、无知，用于攻击他人智力。
bego&budek,价值观,侮辱性词汇，分别意为'笨蛋'和'聋子'，用于贬低他人。
bego&caper,价值观,bego意为愚蠢，caper意为寻求关注，用于贬低他人或嘲讽其行为。
bego&ceweknya,价值观,贬低女性智商的侮辱性词语
bego&dongo,价值观,侮辱性词汇，意为愚蠢或笨蛋，用于贬低他人
bego&dungu,价值观,侮辱性词汇，意为愚蠢或无知，用于贬低他人
bego&goblog,价值观,侮辱性词汇，意为愚蠢或笨蛋，用于贬低他人
bego&idiot,价值观,侮辱性词汇，意为笨蛋或白痴，用于贬低他人
bego&julid,价值观,侮辱性词汇，分别意为'笨蛋'和'爱挑剔的人'，用于贬低他人。
bego&lesbi,价值观,侮辱性词汇，贬低智力和性取向
bego&loe,价值观,侮辱性地称呼他人为愚蠢。
bego&mampus,价值观,侮辱性词汇，意为笨蛋和去死，用于攻击他人
bego&mpok&silvy&agus,价值观,侮辱性词汇 'bego'（意为愚蠢）针对特定个人（mpok silvy 和 agus），构成侮辱。
bego&najis,价值观,侮辱性词汇，意为愚蠢和令人厌恶
bego&sampah,价值观,侮辱性词汇，意为愚蠢和垃圾，用于贬低他人。
bego&sekali,价值观,侮辱性词汇，意为非常愚蠢
bego&semua,价值观,贬低他人智力的侮辱性词汇，意为'全部愚蠢'。
bego&serang&karakter,价值观,侮辱性词汇'笨蛋'和针对个人的攻击性语言
bego&shame&on&you,价值观,侮辱性词汇，意为笨蛋和表达羞耻感的攻击性语言
bego&sok&sangar,价值观,侮辱性词汇，意为愚蠢和假装强硬，用于贬低他人
bego&tolol,价值观,侮辱性词汇，意为愚蠢或笨蛋，用于贬低他人
begokkkkkk,价值观,侮辱性地称某人为愚蠢。
begonya&bego&banget,价值观,侮辱性词语，意为非常愚蠢，用于贬低他人智力。
begundal&budak&jongos,价值观,侮辱性词汇，分别意为恶棍、奴隶和仆人，用于贬低他人
bejad&kasar,价值观,侮辱性词汇，表示堕落和粗鲁的行为
bejad&tabiatnya&kasar,价值观,形容某人品行败坏、粗鲁无礼的侮辱性词汇。
bejat,价值观,侮辱性词汇，意为道德败坏或堕落，用于攻击他人
bejat&bangsat&bajingan,价值观,侮辱性词汇，意为堕落、混蛋、流氓，用于攻击他人品格。
bejat&bener,价值观,用来侮辱他人品行败坏的词语
bejat&cabul,价值观,意为道德败坏、淫秽，带有侮辱性。
belatung&onta,价值观,将人比作骆驼的蛆虫，带有侮辱和贬低意味。
bencong,价值观,印尼语中对跨性别者或性少数群体的贬义称呼，带有侮辱性。
bencong&banci&kaleng,价值观,侮辱性词汇，用于贬低或攻击LGBTQ+群体。
bencong&halu,价值观,侮辱性词汇，意为'娘娘腔'或'妄想症'，用于贬低他人。
bencong&ideologi,价值观,贬低特定性别身份或性别表达的侮辱性词汇
bencong&idiot,价值观,侮辱性词汇，用于攻击他人的性别身份或智力。
bencong&jiwa&lakinya&keluar,价值观,贬低跨性别者的词汇，暗示其行为不符合传统性别规范
bencong&najis,价值观,侮辱性别身份的词汇，带有歧视和贬低意味
bencong&teriak,价值观,‘Bencong’是对跨性别者的贬义称呼，具有侮辱性。
bencong&treak,价值观,BENCONG是对跨性别者的侮辱性称呼，TREAK进一步强化了侮辱性语气。
bencong-bencong,价值观,侮辱性地指代跨性别者或性别表达不符合传统规范的人群
bencongx&jidat&kamu&sudah&expired,价值观,贬低他人外貌或性别身份的侮辱性词语
benconh&muka&kamu&jelek,价值观,侮辱性词汇，意为嘲笑他人性别身份或外貌丑陋
bencooong&ga&punya&otaaaaaaaaak,价值观,侮辱性词汇，意为'骗子'和'没有脑子'，用于攻击他人
bener2&idiot,价值观,用来侮辱他人智力的词语，含有贬低意味
benjol&badan,价值观,嘲笑他人身体特征，意指身体有凸起或不平整的地方
bergerinjul&tidak&jiji,价值观,嘲笑某人外貌或行为，带有侮辱性和贬低意味
berhenti&saja&dari&atlet&sepak&bola&jadi&driver&taksi,价值观,贬低职业，暗示某人不适合当前职业
berindikasi&psikopat,价值观,暗示他人有精神疾病（精神病患者），具有侮辱性
berisik&cocot&kalean,价值观,侮辱性词汇，用于攻击他人言论或行为。
berisik&cong,价值观,带有侮辱性和歧视性的词语，'cong'常用于贬低同性恋者。
berkarat&belangsak,价值观,带有贬义的词语，意为'腐朽'或'悲惨'
berkata&kasar,价值观,指说话粗鲁或使用侮辱性语言。
berkerudung&transgender&busuk&serem,价值观,侮辱跨性别者的词汇，暗示其行为和外貌令人厌恶和恐惧。
berlumur&dosa,价值观,形容某人充满罪恶，带有强烈的道德批判。
bermental&maling,价值观,指责他人有小偷的心态
berpakaian&yang&sopan&bicaraya&jangan&norak,价值观,批评他人穿着和行为不符合社会规范
betis&kamu&bukan&betis&perempuan&tapi&laki&laki,价值观,贬低他人外貌，暗示其不符合性别特征
betul-betul&bajingan,价值观,‘bajingan’是印尼语中侮辱他人的词汇，意为‘混蛋’或‘无赖’。
bewajah&ki&baate,价值观,指责女性主义者无意义地谈论，带有贬低意味
bhikari&magi,价值观,侮辱性词汇，意为乞丐女人，用于贬低女性。
bhikhari&ki&bacha,价值观,乞丐的孩子，用于侮辱他人，带有歧视性含义。
bhikhari&nikal,价值观,侮辱性地称某人为乞丐，并要求将其驱逐
biang&maho,价值观,‘maho’是对LGBTQ+群体的侮辱性称呼，带有歧视和贬低意味。
biangkerok&lo&zonk,价值观,指责他人是麻烦制造者的侮辱性表达
biar&tidak&kelihatan&bodohnya,价值观,带有侮辱性，暗示对方愚蠢的贬低性语言。
bikari&salibati,价值观,带有贬低性和侮辱性的词语，用于攻击他人。
bikhari,价值观,侮辱性词汇，意为‘乞丐’
bima+&idiot,价值观,使用 'idiot' 一词侮辱特定个人或群体，具有冒犯性。
binary&faggot,价值观,侮辱性词汇，通常用于贬低或攻击特定群体的性取向或身份。
binatang,价值观,用动物侮辱他人，属于侮辱性语言。
binatang&seperti&mu,价值观,将人比作动物，带有强烈的侮辱性。
binatang&terkutuk,价值观,被诅咒的动物，用于侮辱或贬低他人。
bisnis&dipandang&jelek,价值观,暗示跨性别者的商业活动被视为负面或不良
bitch&ugly,价值观,侮辱性词汇和针对外貌的贬低性评价
blangsak&bajingan,价值观,侮辱性词汇，用于贬低他人，意为'穷困潦倒'和'混蛋'。
blangsak&brengsek,价值观,侮辱性词汇，意为无用或糟糕的人，具有攻击性。
blangsak&kampang&npret,价值观,侮辱性词汇，用于贬低他人或表达强烈的不满
blejetin&pilot&sontoloyo,价值观,侮辱性词汇，意为对某人进行羞辱或攻击，含有贬低意味。
blok&bodoh,价值观,侮辱性词汇，意为愚蠢的傻瓜
bloon,价值观,侮辱性词汇，意为愚蠢，用于贬低他人
bloon&bego&begoin,价值观,侮辱性词汇，用于贬低他人智力或能力
bloon&dongo,价值观,侮辱他人智力的词汇，意为愚蠢、笨蛋。
bloon&goblok,价值观,侮辱性词汇，意为愚蠢或笨蛋，用于贬低他人
bloon&somplak,价值观,侮辱性词汇，意为愚蠢或无能，用于贬低他人。
bloon&tolol,价值观,侮辱性词汇，意为愚蠢或笨蛋，用于贬低他人
bncong,价值观,对他人性别或外貌的侮辱性称呼。
bngsat,价值观,侮辱性词汇，意为混蛋
