tweet	label
Abiy Ahmed saree abba wajjiin duultee fakkaata Sareen abba wajjiin duultee yoo hinni ajjeesse eessa hinni ajjeesse nyaati yoo hinni du'ee eessuma deebiftee nyaati . Abiy Ahmed waggaa lamman darbee otoo Tigreen mootee ani Opdo dha jedha turee waan Oromon mootee fu Oromo ta'ee.	Abuse
.Hawwiin Oromo Oromiyaa bilissa baassun malee Nafixaanyaa jette akka Tigreen hin lolee haa ta'uu yoo diddan lafa Orma irraatti duttan dutti keessan du'aa saree ta'aa . Oromiyaa kee Nafixaanyaa irraa bilissa baassi lafa nama irraatti akka hin lolee haa ta'uu.	Hate
Godina Horroo Guduruu Wallaggaa Ona Guduruu bakka Tulluu Habiib jedhamutti dargaggootni lama Oromoo Mallasaa fi Nugusaa Geetaachoo jedhaman Mudde 06 2020 halkan mana maatii isaaniitii fuudhamanii waraana humna addaa Oromiyaa jedhamaniin ajjeesaman.#Oromo #Oromia #Ethiopia URL	Hate
Addisuuf Taayyeen maal maal odeessuu? Hmmm.Maraatuu tu nama fayyaalessa akka malee deddeebisee kan ta’uttis kan hin taanettis kolfu tokko argitee: wayyoo anaanis yammuu dura na jalqabu akkuma kana na kofalsiisa ture! jette jedhan . Baatii muraasa eegna . ibiddaaf cidii URL	Abuse
Warrabeessi iddoo eessa hin beekne keesuma deeme tti gogaa oolaa na hafaa jedheNamitchi Abiy jedhamu kuni akkami tti aangoo qabatee kara soba ani Oromo dha jedhe garu Abiy diina Ummata Oromo tti garu kani hinni sodaatu warrana mitti filaanoo dha.	Abuse
. Raayyaa ittisa biyya gara miliyooni tokko oli Tigray tti eergan kuni kani ibsuu akka Nafixaanyaan sodaatu albaatii taate Nafixaanyaan sodaa guddina gadiddu ofi wareerrti Oromiyaa yookani du'aa lafti Oromo iddo itti diini hawaalamu malee irraa jiratu mitti	Hate
.NafixaanyaanTplf sodaatan tti Tplf kudhan qabu dha Raayyaa ittisa biyya gara miliyooni tokko oli Tigray tti eergan kuni kani ibsuu akka Nafixaanyaan sodaatu albaatii taate Nafixaanyaan sodaa guddina gadiddu ofi wareerrti Oromiyaa yookani du'aa	Hate
"@USER Qaanii malitti beekti salphoon akkanaa . ""Gaara aaddattee"" jedhu duratti nu biraa ishii akkanaa kanaan."	Abuse
Abiy kophaa dorgomee mohadde jechuuf deema . Qaanii hin beekani . URL	Abuse
.Kunoo ofi account social media irraatti banee itti gargaramuu dhiise tti kankoo hacked godhee yookani hatee eessa irraatti hunda'ee oduu biyya aduunya irraa tti soba facaassa . Abiy Ahmed jechan hatuu account nama cabsee account soba irraatti	Hate
@USER Jawar Mohaammed fi hayyoota Oromoo mana hidhaa jiran irratti shira xaxaa dhimma akkaawuntii yoom si gaafanne	Hate
BB : Furguggee Torbanii Mud . 9/2020 Furtuun rakkoo Itoophiyaa Mana Hidhaa Qaallittii jirti . URL via @USER	Normal
. .Abiy Ahmed jechan hatuu account nama cabsee account soba irraatti hunda'ee oduu soba biyya aduunya irraatti facaassa (Angel nama gudda !) hatuun gudda hin qabdu.	Abuse
Abbaa Gadaa siin jenna moo abbaa garaa siin jenna namichoo salphina keessa jiraachaa fakkeessuf uffata adii uffachaa keessi Kee wasaka kana booda abbaa garaa URL	Abuse
Baga milkooftan Hayyuu keenya.Osoo moortuun moortuu Hortuun horti jedha Oromoon! URL	Normal
hin goone ta'u akka nu hubattan barbaada.oduuwwan isiniif hiru maddawwan irra fudhu hagan danda'etti ibsaan jira jedheen yaada.maddan an irra hirus haga danda'etti niin qulqulleeffadha.kanan soba ta'u shakkes hiru irraa nii qusadha ykn hirraan niin haxa'aa!	Normal
Raashiyaan Buufata Waraana Bishaanirraa Sudaanitti Ijaaruufi! URL	Normal
@USER Kana hundaaf maddi isaa Oromoodha! Isa gaaffiin Abbaa Biyyuummaa haarsaa qaaliin itti kaffalame tokkoyyuu osoo deebii hin argatin 'Bilisoomeera' jedhee labse . Madda rakkoo keenyaa adda baafnee hin sirreessinu taanaan warruma nu ajjeesaa jiruu fi turetu 'bilisa baasaa' of labsa.	Hate
@USER Seenaa beekuuf qorannoo gaafata . Kunimmoo hojii mataasaa danda'edha . Waanuma salphaa Oromummaa keenya cimsu Oromoota jabeessuu fi beeksisu illee gochuun baay'ee ulfaatee jira dhaloota kanatti . Oromoon million 50+ jenna garuu Sirbi afaan oromoo tokko ba'ee youtube view 100k.	Normal
Addunyaa oduu sodaachisuu fi nama dhiphisuun guutamte keessatti ilmi Abbaatti of gate hin sodaatu kan isa harkaa qabu abbaasaa ta'uu beeka . Atis Waaqayyo Abbaa keetti of gati malee hin sodaatin! Filiph . 4:6 Maat.6:25 1Pheexr.5:7 Yoh . 14:1 URL	Normal
@USER Martuu akkasuma ummanni hanga oromoo cimaan hin jiru namootni abiy jala fiigan tigree miti? Amaara miti? Moo oromoo gad qabuun kun amala sitti ta’eeti? Ummata hunda keessaayyuu gantuun ni jira.	Abuse
Haadha Lidatuu Ayyaaleewu keessatti harmoolii biyya kanaa warra haqni jalaa badetu natti mul'ata . warra ijoolleen isaanii yakkamaan yakkamanii iji isaanii imimmaan cophsu.Baga nagayaan baate Lidatu!URL	Normal
@USER Waayee paarkii Baalee adaraa . Jarri caakkaa bareedaa sana balleessuf yaalu danda'uu . Waaye Leenca gurraacha achi argamus itti yaadaa . Jedaloonni Dimaa jirannis akka bineensota biraa wajjin walmakani sanyin Isaani badaa akka jiru risarchi tokko ba'era . Isas itti yadaa maaloo.	Normal
Baay'ee gaarii dha jabaadha gootoota keenya . ilma Abbaa Gadaa si waliin jirra URL	Normal
Breaking: Waraanni Sudaan karaa Lixa Gondariin bifa haaraan daangaa xoophiyaa cabsee galuudhaan weerara bal'aa geggeessaa jira . - URL URL	Hate
@USER doofaa haadha nyaatuTokkummaa maal abbaa keetti beekta?ergamtuu saree	Abuse
Jarri lamaan gaafa walhaatu nuyi umna jabeeffachuu qabina qaawwaa aangoo uumamaa jiru dafinee guutuuf . Dhumarra waraanicha kan moo’ate waliin geeba isa dhumaaf walitti bahuunis jira	Normal
.Abiy Ahmed jechan hatuu account nama cabsee account soba irraatti hunda'ee oduu soba biyya aduunya irraatti facaassa (Angel nama gudda !) hatuun gudda hin qabduAbiy Ahmed hatuu galan haa gawwu yooni twitter koo seenu suspended jedha	Abuse
Ummanni oromoo sirna nama nyaataa kanaaf abdii kutachuufi jilbiilfachuun nurra hin jiraatu wal utubuudhaan du'aaii godhaa bakka jirtanii rabbiin nu gargaaraa qabsoo keenyaas finiinsuu qabna qeerroo fi qarreen	Hate
@USER Jabaadhuu Waaqayyoon siwoliin jira . Fuldurri itoophiyaa eebbaafi Jalaalaa jira . Balbala Araarallee qaama Araara fedhuuf bani . Mariin biyyaa ijaaruufi olaantummaa seera fudhachuu itti fufuu qaba.	Normal
Gachanni koo waraana Bilisummaa Oromoo dha . Kan haadha ajjeesee mucaa haadha malee hanbisu kan morma muree lafarra harkisu kan reeffa waraabeessa nyaachisu RIB kol @USER Gaachana Oromoo ta’uu hin danda’u! URL	Hate
Woyyaneen kan cabde gaafa Qeerroon Teessoo taayitaa isii irraa dhidhimsee Maqaletti galcheedha! Kan miilana kadireen Haadha Ristee fi warri haftee jaraa funaannattu faarsu haaloo angoof jedhanii waraana gaggeessaniiti.	Hate
. Abiy Ahmed akka saree abba wajjiin duultee filaanoo lamma qaba . Oromiyaa yookani du'aa lafti Oromo iddoo tti Nafixaanyaan hawaalamuu malee irraa jiratu mitti	Hate
Gubaata marqaa huubata ttu argaa . Nafixaanyaan amma iddoo hawwii ofi geessutti arraba sareen sii arrabuu gaafa iddoo hawwii ofi geesse arraba sa'aan sii arrabuu . (namni Abiy Ahmed aangoo tti fidee Lema fi Jawar turaan . Abiy hedda iddoo hawwii ofi ga'ee arrabaa sa'aan sii arrabaa	Hate
@USER Lakkii nami baay'een jalqabanii jiruu . baay'ee godhatee jirayyuu	Normal
Hoogganaan olaanaan waraana Shaabiyaa/Eertiraa kun . - URL URL	Normal
Motummaan abbaa irree ummataa wallagaa ilikoptariin waan dhaa ollee #Ethophia #DWON #Dwon URL	Hate
Stupid and narrow-minded people express their desire for Finfine . Thank you Commercial Bank.Jibbi isin oromoof baayyatee muldhata lafa keenyaa gubbaa jiraataa saniinii keenna jedhaa ummata rakkattuu nafaxanyaa hattuudha ilmaan kabaja hin beekne arguuf teessan ajaa'iba URL	Hate
Yaa'iin idilee Tokkoffaa Bara Hojii 2013 kan Godina Harargee Bahaa Maal maal irratti xiyyeeffata? URL	Normal
Bilbiilli harree irraa hin bareedu . Abiy Ahmed Nobel peace prize hinni soban argaate amma salphina eessatti malee ulfinaa eessa mitti	Abuse
Jaal Dawud Ibsaa hidhameera oduun jedhu soba ta’uun Hayyu-Dureen ABO Jaal Daawud Ibsaa mana jireenya isaaniitti argamuun beekameera.#Oromo #Oromia #Ethiopia #Africa URL	Normal
Riphee lolaa 782 ajjeessee jeedhanii yoo dubbataan hinsaalfatani . Naannoo sannitti wolitti isaanii kaqabamuuf gowaan hinjiru . Garu qotee bula Oromoof dargagoo teenna ajjeesa’a maqaa onagshanee jedhu kana itti uwwisuun amaluma OPDO-Bilxigna nafxanyootat . Ummanni Oromoo soba diinaa URL	Hate
Bulchiinsa magaalaa Hoolataatti nageenya waaraa mirkaneessuu fi haala hojii misoomaa dhiyaana biyyaaf jedhu irratti hirmaachuun fiixaan baasuun danda'amurratti abbootii amantaa waliin mariin taasifameera . URL	Normal
Rabbiin homa hin dadhaabu Erga M areeda baase Rabbiin muraad areeda kenna Gaaf-tokko Ridiis imma kenna Ridii koo abdii hin muratiin Jabaadhu daaraa fa'a itti dibi Waan rabbiin hin beekkanni siif bahu danda'a URL	Normal
Bara Dargiin aangoo qabatee wari Gojjami akka amma kana fokkooran Oromon nu hin bittu jedhan bodee Ijoollee Oromo oolootaa tti barratan wara Ambo wara Ginci'i Gojjami tti nama dhiiba hin ta'aan eergaan warana nama kuma kudhan olaantumaa seeraa barrsissan.	Hate
Bakka ajaan baay'atu bakka tortoraafi raqaa allaattif saree malee kan biraa maaltu dhaqaa daandii dheeraatu na hafe kan fuundura koo taa'uu booddeetti galagalee bookee fi tafkii hin lakkaa'uu lubbuu biliqa baatuuf maafan gola naannaa'uu saba koof falmee du'ee Taaddasaa birruu hac URL	Normal
SBO Muddee 18 2020Qophiilee Har'aa: - Oduu Filannoo dura rakkoo biyya kana hudhee qabee jiruuf Furmaata siyaasaa laachuu kan jedhuu irratti HD-ABO Jaal Daawud Ibsaa tibbana VOA irratti kan dubbatanii fi Haala Godina Booranaa ilalchiseeURL	Normal
@USER Namni yaada biraa qabu hundi abbaa garaa yookan haadha garaati miti.	Normal
Way ajaa'iba harree quunxaa qabduu jedhe namtichi dubbiin dhibde	Normal
@USER Oromtitti Horro baga nagaan dhufte kaa!	Normal
Ilmi 1ffaa PHDKan 2ffaa MBAKan sadaffaa Engineering Kan arfaffaa #HattuuOllaa: - ilmaakee hattuu kana ari'i ofirraa!Abbaa: - ilmaan koo keessaa kan qarshii gahaa argatu isadha . Kunneen Hojii dhabeeyyidha!	Abuse
@USER Ilma Dasuu Odaa baga nagayaan dhuftan	Normal
"uumamee booda ""ummata Tigraay deebisanii ijaaruuf kan oolu doolara kitila 345 atjoomne"" jetti . Dura rakkoo hambisuun hin danda'amu turee? Yoo qawwee hidhannee ofirraa lolanne malee addunyaan dhugaa fi qabsoo karaa nagaa qofa hin dhageessu! Humna/filannoo lachanuu waliin qind 2/3"	Normal
TPLF Waggaa 27 ergamtuu OPDO jedhamtu qabatee lafaa fi qabeenya keenya saame . PP'n Waggaa 3 keessatti Oromiyaa fi Oromummaa saamuuf ifaajaa jira.Diina qabeenyaa irra Diina eenyummaa eeggadhu.	Hate
Seenaan #Baalee kitaabaan barreeffamee maxxanfame hin jiru! Barreeffamee dhumuu dide!Seenaan lafaaf namaa kan kaleef har'aa argachuuf galma xiqqaa keessi isaa garbaa #Nasraddiin_Aadam qofa bira jira . Umrii nuuf dheeradhu abbaa dhugaa . URL	Normal
Egypt Waraana Xoophiyaaf Sudaan gidduutti geggeeffamaa jiru keessa galuuf murteessite . - URL URL	Normal
Dubbii Himaa ABO dabalatee Galaalechessitootni SBO ganama kana humna waraanaan ukkaamsaman 12/202/2020Jaala Firaa’ol Jaallataa Dubbii Himaa ABO Jaal Murataa sabaa MGS Jaal Ibsaa Gaaddisaa galaalchessaa SBO Ayyaantuu Bulchaa Galaalchessituu SBO.Free OLF leades and journalist . URL	Normal
#BreakingNews Sudaan loltoota Ertiriyaa erga boojitee booda #Gibtsi waliin waraana #Habesha irratti banuun loltoonni baayeen gama Ethiopia akka du'a gabaafamaa jira.	Hate
@USER Radiyoo walabummaa tv irratti dhaggeeffachuu dandeenyaa moo eessatti arganna	Normal
@USER Abbaa Seenaa Onnee Oromoo Haacee yoomuu Sindagannu	Normal
Adaa kanaaf akkana qallo Warri keessaan hiyeessa ? URL Kiya Tiya (Abbaa Sukkara) Dirama baay'ee namatti tolu Kana guutu isa link arman gadi Kana xuqqa daawwadha.URL URL	Normal
Oduu Muddee 21 Dubbii Leencoo Lataa fi Birhaanuu Naggaa fi Waraana Suudaan URL via @USER	Normal
- Mallas waan tigree ta’eefi miti kan itti qabsoofne! Jawar Mohammed dubbiin tun dubbii guddoodha . Oromoon lagaan firummaan balleessa namaa hin dhoksu orma jedhee hojii garii ati hojjates dhoqqetti hin haqu.	Normal
____OROMOO KOO!_______ Abdii hin kutatina guyyaa tokko haqni ni mooha! URL	Normal
Uummanni dhiigaa namoota diinaan ajjeefamanii hinbafanne akk waan hinjirreetti Jarri dhiiga dhiigaran dabala jiritti namooni keenna gariin waaye woliin jirachu qaaqu Yookii lafarraa dhuminna yookii bilisaa baana lama hindhaminu Namoonni udu jiran of ajjeesan abdii kutachoon beeka URL	Hate
@USER Rabbummaan si haa buqqisu yaa abiyoot oromoo tuyte haadha ilmaatu si abaare haadha oromoottu si abaare haadha abbaa gadaattu si abaare yatiima haadhaa fi abbaa irraa fixxettu si abaare tee ganaa dhageenna	Abuse
Qophii lolaa gochaa kan ture waraanni Sudaan yeroo ammaa loltoota Itoophiyaa waliin lola jabaatti seenuun beekameera . Haleellaan Sudan galgala kanaa jeettiwwan waraana fi helekooptarotaan kan deeggarames jedhameera . #Sudan #Sudan URL	Hate
@USER Guyyaa tokko mee media abbaa feedhe irraatti sagaleen kee nuti gadi lakisi si yaane abbaa guyo	Normal
Nu ilmaan abbaa Gadaati!Gadaan Handhuura Oromummaati!	Normal
"Oromiyaan waggoota 150 oliif dhibee namtolcheen rakkoo keeysa turte . ""Addunyaan faraqa"" akkuma jedhamu Kan itti beekuuf Tarsiimoon BADHAADHINA MAATII Milkeeysuu Qonnaan bulaa fi Horsiisee bulaa Oromiyaatiif gad buutee LEENJIIN irratti kennamaa jirti . Itti haa fayyadamnu ."	Normal
rakkoo ammaan tana uummata keenya dararaa jiruu yoo mootumman daddaffiin furmaata hin laannee uummatni keenya gara lola waliinitti akka deemuu homaa shakkiin hin jiru	Normal
. constitution jiru geedaruu fi sana bodee Nafixaanyaan goofta wari haftee akka garba tti jirati . paartiin tokkummaa Russia waggaa kudhan keessatti constitution jiru yerroo lamma geedarani Nafixaanyaan gurba eessa morma muraan uddan mula'atu aangoo gubba akka turuu fi	Hate
Huumni eeshii beedaarii hin gawwu abjuun walayyitaa nagaadi (Abiy Ahmed yerroo aangoo hatuu Africa hundaa beelaa baassu fi turee amma garu hojjaate bula dha mindaa keenu diddee namni rakkoo gudda irraatti kufee .	Abuse
Biyyi maraatuu fi walaaltuun bultu akkasuma! Dhugaa hin beektu sobni isaanii deebisee isaan waraana! Dambidooloon uleedhaan WBO tiksaa oole akka EBC gabaasetti URL	Hate
Naftanyan lafa orma fudhachuuf adunyaan guutuu utuu arguu gabaasuu ajjeechaa suukkaneessaa raawwataani hololaa mottummaa fi nuu’irraa ofaan! Oromoon du’aa saree utuu du’uu gadi-baane ajjeechan nurraa hadhaabbatuu jechuu dadhaabnee! #Oromo #Ethiopia URL URL	Hate
Bilisuumaan aannani kaa beekuu aannan dhugaa kaa hin beynee biraa ta’ee mugaa	Normal
Ummaannii oromoo jawaar Mohammed fi hayyoota keennaa mana hidhaattii gatee Hangaasaa wajjiin sirbaa salphina kana oli maltuu jira yaa waa irraanfachuu jedhee hacaaluun #free jawaar Mohammed URL	Hate
"Seenaaf ol kayyana! Yakka Waraanaatu Oromoo irratti Raawwatamaa Jira! Kadireen Abiy godinoota Lixaatti duula ""sakatta'iinsa Shanee"" jedhuun ummata diirqiidhan ulee fi eeboo qabsiisee bosona keessa boobbaasaa jira . Duula dirqii kana namni morme ""Shanee"" jedhamee ajjeeffamaa! URL"	Hate
Hordoftoonni amantaa kirstaanaa fi ummatni Oromoo marti baga geessan.Merry Christmas.	Normal
@USER Osoo nuu sitti himnu ifaati naafxanyaan aangoo gadii dhiisii sitti labsite	Hate
Daafiin afaa Baal'oo afaa dhiphoon galaafatee . Daafiin Nafixaanyaan akka saree oli gaddi kaatan nama hundaa tti dutaan kuni Ummata Itoophiyaa lagguu gudda jalaati kufsaa . yerroo gurban taakkuu tokkeen seeraa oli ofi taasissu seeraa biyya aduunya ulfeessu	Hate
Baga Lubbuutiin hidhaa keessaa baate Sidise . URL	Normal
#OromoProtests: Qorannoon reeffa rasaasaan Itiyoophiyaa keechatti ajjeefamanirratti godhame akka sanyii Oromoo lafarraa duguuguutti xiyyeeffatee agarsiisa . Oromoo kana hubattee? Akkamitti of baraarta?	Hate
"Abdii Qophee ""Yaa Hidhannoo Zinnaaraa"" Sirba Afaan Oromoo Seena qabeessa tahe Ragaa MEDIA Sirba ""Yaa Hidhannoo Zinnaaraa"" jedhuu kana Wallisaa Abdii Ibraahimis taphateeti jira . Namnii baay'een kanuma Abdii Abraahim wallisee kana beeka . Garuu Sirbii kun URL"	Normal
Guyyaa Kaleessaa Mudde 26 Gujii Bahaatti ergamtoota waraana diinaaf galaa fi bishaan fiddee dhufte doqdoqqee 2 bishaan hayilaandii 20 ergamtuu nama 2 WBOn to'ateera . URL	Hate
Oduu-Amme Ajejan waraana Itoophiya izzii Baha Major General #Zawudu_Balay waraana Tigayin ajjeefamun himama jira.Akka maddeen adda addaa jedhaniti qondali warana kun lola kalesa bakka Saamri jedhamu irratti taasifameen ajjeefame.lola guyya kalesa kanan qondali guddan mootummaa . URL	Normal
Amaloota Abiy keessaa muraasa:-URL waliin kolfaa si nyaata.2.Soba dhugaa fakkeessa.3.Nama faallaa yaadaa isaa ta'e hin jaalatuBaayyeetu jira kan irraanfadhe itti dabalaa.	Abuse
Nama Ajaa’iba ODUU Amma dhufeen Suudaan Lafa kiyya Hunda deeffadhe Amma . URL via @USER	Normal
Bideenni Oromiyaa armaan booda isiniif summii ta’eera! URL	Hate
Waraana bilisummaa oromoo sakaatta fi operation baleesuf yaaluun riqichaa ijjaranii waaqaa yabuuf yaludhaa.#jaal_jabeesaa_lammii URL	Normal
Lammiileen ethiopia heddumminaan saba oromoo tahan mana hidhaa saudarabia keessatti rakkoo garaa garaatiin dhiphachaa rukutamaa jiru.Kanarratti cominetin biyyatti keessa jirus rakkina isaanii ilaalaatuma bira dabru!Embaasiin ethiopia tis osoo arguu callise bira . dabra malif URL	Hate
Uummata hin baranne bulchuun hammam tokko umurii mootummaa abbaa irree akka dheeressuuf Itoophiyaa irraa hubachuun baay'ee salphaadha.	Hate
Osoo aangoo olaanaa biyya hogganuu harkaa qaban waanjoo gabrummaatu nurra jira jechuun takkaa gandummaa dheebuu aangoo ykn doofummaa qofa . #Oromo #Ethiopia	Abuse
#HaqCheck-iin qorannoo taasiseen loltoonni Sudaan naannoo daangaa Itiyoophiyaa fi Sudaan irratti waldhaban qabattee jirti jechuun suuraa loltoota Sudaan agarsiisu dhiyeesse Soba ta'uu mirkaneessee jira . URL	Normal
Osoo karaan Abbaa Kenyaa Jaal Jarraa Abbaa Gadaafi Jaal Maarroo jiruu karaa Nafxanyoota Afaan Oromoo dubbaatan @USER fi @USER hin hordofu!	Hate
#Oromoo wol nyaachuu dhiisii #damaaqii namtiin kun #woraanaa biraati labsaajirtii #nafxanyaan xiiroftuun kun #amantii dahoo godhaatee biyaa #shororkeessaa jirtii URL	Abuse
#OBN:Humni Eegumsa Rippabliikaanii duula olaantummaa seera kabachiisu keessatti dirqama itti kenname gahumsaan bahachuusaanii Ajajaa Olaanaan Humna Eegumsa Riippaablikaanii Mejar Jeneraal Birihaanuu Baqqalaan ibsan . URL	Normal
@USER waa hundaafuu baga jiraatte sagalee keef baayyee dharraanee jirraa nuuf	Normal
Waan beeyte hojiirra hin oolchitu taanan.Beekun kee qofti gahaa miti wallaalaa irraa adda sin godhu.	Normal
@USER Abbaa qumaaraa essaa as baatee sobduu	Abuse
-Haaceekoo Oromoo namaa Baga dhalatte!!! Utuu guyyaa dhaloota kee kabajnee hin quufin nujalaa sifudhatan umrii gabaabduu kanatti oolmaan sabaa keef oolte lakka'amee hin dhumu . yoomu onnee keenya keessa jirta jiraatta!!!#Nagaan_boqadhu!#Haccalu_Hundeessa URL	Normal
