id	tweet	label
train_swahili_00022	maadili na kizazi kipya  via	Normal
train_swahili_00023	   senatorreid nina hakika hii tweet itakulinda kutoka kwa malipo ya karmic mlafi wa mboro	Abuse
train_swahili_00024	wakati vidonda vya pussy  vya panya vinajua kilabu sio   kuingia 	Abuse
train_swahili_00025	  askwhy i kofia kwamba mimi rangi shit yangu shit  kula tu baadhi pussy na kukua wewe dawg moja  acha kujaribu njia ya mkato	Abuse
train_swahili_00026	jembe la kutombwa pussy za juu za fundo hupata zaidi sio ndogo	Abuse
train_swahili_00027	 najua majembe la kutombwa pussy matako  haya sio sawa	Abuse
train_swahili_00028	jamani wanafanya kama bron alirarua acl yake gonga up mpenda kuma lol	Abuse
train_swahili_00029	  unapokuwa wa ndani katika pc huwezi kumpenda mtu yeyote kwa sababu kila mtu hubadilika kuwa majembe la kutombwa pussy matako  wakati wa chemchemi	Abuse
train_swahili_00030	  wakati wa usiku unaingia im corie latin sasa mtu wa fitina ninaweka manyoya ya ndege ndani ya glasi yangu ya scotch na siwahi kufanya machapisho ab   	Normal
train_swahili_00031	bond alikuwa na majembe matako  na pesa bourne alipiga mateke punda hakuna vifaa vya kipanga kila wakati acha bitch afe	Abuse
train_swahili_00032	maoni ya kufurahisha zaidi yt niliyowahi kupokea ni niggers gonna nig  shrugs   lmao mbaguzi muthafucka alinikamata	Abuse
train_swahili_00033	bc tu nywele zako zimewekwa au wuteva haimaanishi alama yo shit gotta harufu ya kushangaza sio nigga inayotaka mtombaji ambaye ananuka kama weave iliyowaka	Abuse
train_swahili_00034	fuck kwamba niggah yeye dhaifu sana yeye hawezi kukuambia kuwa wewe ni kituko	Abuse
train_swahili_00035	vibanzi vibaya ndio kitu pekee ambacho napenda	Normal
train_swahili_00036	nilipata sifa nzuri kwa hivyo deni yangu ya mpenda kuma ilipata mechi yangu	Abuse
train_swahili_00037	hicho kitu cha kukagua wasifu wa fb bandia basi mf niliongeza tu kitita jana na kilikuwa nami juu fuck fr	Abuse
train_swahili_00038	ulimwengu bora kuliko 95 ya takataka kwenye sinema leo	Normal
train_swahili_00039	njia mpya ya kutafuta wageni pata takataka ya kutombwa zao    	Hate
train_swahili_00040	kwenye maandamano ya mlk tryna pata mtu bitch kichwa nusu tunamuona u	Abuse
train_swahili_00041	tofauti yako na president muislamu Nyakundi different ideas topics wewe na alai wamama tupu	Hate
train_swahili_00042	achaaaaa hizo kwa jero lipi mimi nilikuwa natoka mbezi kwa yusufu nawahi billcanas unaingia bure kabla ya saa nne kama u	Normal
train_swahili_00043	i hate when clients kam up in the office na bado sijamada chapo  zangu na chaisaa ona zishapoahapana pwana  jaluo accent	Hate
train_swahili_00044	 hakuna kutomba sio bitch kichwa nusu jinsi utatoka huko nje punda wa bunda nigga mjinga	Abuse
train_swahili_00045	nilikuwa na kifaranga ambaye alikuwa na kitoto alikuwa na kitambi akila pussy ya huyo bitch   freshrhymes jerksquad slowstir	Abuse
train_swahili_00046	  ninachukia kuona ada nzuri ikiwa nigga dhaifu  kuwa kama msichana yu amepunguza r sumn  uon know yu cud have me 	Normal
train_swahili_00047	baba you said tusiende kazihatukuendatukafutwa sasa pesa tutatoa wapi nasasinkingship	Hate
train_swahili_00048	       sio kutafuta mapenzi siku moja itanipata mpaka hapo     weka fuckin dese majembe matako     yolo       mimi ni   	Abuse
train_swahili_00049	 anaonekana kama reg memphis tn takataka ya kutombwa tulizipata kila mahali	Abuse
train_swahili_00050	    ninachotaka kwa siku yangu ya kuzaliwa ni mwanamke aliye na matako makubwa    jembe la kutombwa pussy kubwa la ngawira	Abuse
train_swahili_00051	  kumfanya mtu vibaya kwa sababu tu ya kuwa walikukosea italeta tu karma hasi zaidi  amp nishati ndani ya li   	Normal
train_swahili_00052	 unamaanisha mkundu wa punda wa kutomba 	Abuse
train_swahili_00053	kila kitu juu yake ni mbaya tu	Normal
train_swahili_00054	wakale ni mangaa huwa wanatombwa na macuzo since wawe young wakigrow ndio hawa sponsor na vikwaru kupanua kuja sana	Hate
train_swahili_00055	je hauzungumzi wakati ninazungumza ni bora kunyamaza jembe la kutombwa pussy	Abuse
train_swahili_00056	hii ni moja ya filamu za peter watkins zinazopatikana zaidi	Normal
train_swahili_00057	kuzimu naw hatuna ujinga wowote unaweza kumwambia wewe mpenda kuma sisi vijana wengine matajiri	Abuse
train_swahili_00058	ikiwa hawa wengine wenye magonjwa haya adimu wameweza kufanikiwa na kujitengenezea umaarufu kwa nini isiwe hivyo kwa	Normal
train_swahili_00059	matairi huruka wakati ninapunguza gesi  pikipiki yangu moto na majembe matako  haya haraka	Abuse
train_swahili_00060	yani tumefunga kazi for noth si ungesema ni pm  kenyadecides	Normal
train_swahili_00061	 morgansmith ohhhhhh nasikia changamoto usa vs usa wakati mwingine naona ya punda wa bitch	Abuse
train_swahili_00062	 hapa come majembe la kutombwa pussy matako  ya kukata tamaa   	Abuse
train_swahili_00063	risasi hiyo nigga  amp kifupi kifupi      	Abuse
train_swahili_00064	  unaweza kujiuliza ikiwa unawaamini clegg cameron na miliband au unaweza kupiga kura ya ndio na usifikirie tena juu ya vijusi   	Normal
train_swahili_00065	haya wanawake naweza kuuliza swali kwa nini yig niggas kuwa fkn vilema ni mafala vibaya zaidi na niggas lamest	Hate
train_swahili_00066	  agrovelax sijali kile yeyote kati yenu anayesema kidogo kesha ni mzuri      	Normal
train_swahili_00067	ikiwa pussy hiyo haitakuja na kichwa sitaki 	Abuse
train_swahili_00068	wale watu wa noreformsnoelections walienda wapiama ni hawa wajaluo wajinga	Hate
train_swahili_00069	hawa wakalenjin wa twitter hukuwa weupe sana bana nikama ni outcastsreal life kalenjins are too dark	Hate
train_swahili_00070	baba iyo ndio tunaitaji kama wajaluo na wafuate magizo vilivyo takikana	Hate
train_swahili_00071	   tyg chill baba yako anapata kuumwa zaidi shuleni kuliko unavyohangaika	Normal
train_swahili_00072	wakimbizi warudi kwao hakuna haja umove out kwa mzazi kwenda kuishi kwa neighbour	Hate
train_swahili_00073	wa cheptais lockedi mundukhumundu mimi nakula nyama tu hadi tamati  mluyha bila ugali zii	Hate
train_swahili_00074	vijana wa  naivasha tumeamua kuweka amani sasa  kabla na baada ya uchaguzi mkuu wa agosti tisa    electiomsbilanoma  naivashayouthpeacedeclar                         	Normal
train_swahili_00075	yaani hawa wazungu wana matatizo halafu ni girls from 	Hate
train_swahili_00076	c iliweka historia kuwa timu ya kwanza kutoka laliga kucheza tanzania pale ilipowavaa wekundu wa msimbazi a tazama mambo yalivyokuwa	Normal
train_swahili_00077	ya know rt   shida ni ati huwezi sema brazil warudi kwao 	Hate
train_swahili_00078	   kuwekeza katika bitch kadhaa za mapazia	Normal
train_swahili_00079	 usiwe pussy ongea naye zaidi na kuwa rafiki zaidi kwa hivyo haionekani kuwa ngumu	Abuse
train_swahili_00080	 bitch ion hakuwa na mtazamo          samahani jembe la kutombwa pussy nimevuliwa rn	Abuse
train_swahili_00081	    wapenzi wa kike wanaoshikamana ni bora zaidi	Normal
train_swahili_00082	hapa katika the wind na simba tunaona toleo zuri la enzi ya imperi ya amerika	Normal
train_swahili_00083	fuck pambana na muziki mpenda kuma hii ni kupoteza muziki wa maisha	Abuse
train_swahili_00084	 kwanza wewe nani unamwita jembe la kutombwa pussy usinifanye kwenda sharkeisha sawa wewe boo boo	Abuse
train_swahili_00085	nimetoka huyu mjinga	Abuse
train_swahili_00086	angaa juu ya majembe matako  yao hebu em kujua wewe kukimbia shit	Abuse
train_swahili_00087	msikilize prince dully sykes ndani power breakfast clouds fm akifunguka juu ya show yake ya miaka  ya bongo	Normal
train_swahili_00088	  white ppl itawaita maharage wa mexico na kudai wanachukua kazi zao lakini wana tatoo za fuvu la sukari 	Normal
train_swahili_00089	sisi wakenya tunasoma kama matee rt   lol hawa wazungu wana tu maliza na hii	Hate
train_swahili_00090	lmaoooo      gucci punda kweli lakini kwa majembe la kutombwa pussy matako  mengine nitapiga nyimbo kadhaa   	Abuse
train_swahili_00091	lakini sinema hii ilinijia kweli	Normal
train_swahili_00092	wanafunzi wengi wakizanzibar warudikwao mwaka huu	Hate
train_swahili_00093	      wanakutesa vibaya lol uwaonyeshe meno          mkundu kutomba u	Hate
train_swahili_00094	  viwambo hivi haviwezi kukufahamisha	Normal
train_swahili_00095	  ikiwa hii ilikuwa mwili wa shule ya upili  la a lmao             	Normal
train_swahili_00096	jembe hizi ziwe za kuigiza na hizi niccas ziwe ngumu   	Hate
train_swahili_00097	burritos ni mtu  takataka sana 	Abuse
train_swahili_00098	wacha ujinga peleka ukikuyu uko did you consider this when ohuru was abusing cj as mkora reign ya wakikuyu kuibia kenyans imefika mwisho	Hate
train_swahili_00099	kwa kuwa paka hujilamba kila wakati inapaswa kuwa nzuri kwenye meza ya kula	Normal
train_swahili_00100	tulifurahia matukio hao	Normal
train_swahili_00101	habari maoni yako tunayafanyia kazicf	Normal
train_swahili_00102	  ninaingia kwenye pussy kama  mjinga 	Abuse
train_swahili_00103	nadhani oh alikuwa mpenda kuma mimi sivyo ha	Abuse
train_swahili_00104	vuta takataka ya mchezo      arigold iyanla anaingiliwa na mwanamume ambaye ana watoto  na wanawake  nina maswali mengine   	Normal
train_swahili_00105	 anakucheka na akajiunga na jeshi la kufyatua na sisi wengine karibu na kitita hiki tulikuwa kama wapi mwizi wa kutomba aende kwa jeshi la fuckin	Abuse
train_swahili_00106	tukianza kuzalisha umeme mwingi wa gesi hatutakuwa na matumizi ya bl usdyr ya umeme wa mafuta	Normal
train_swahili_00107	nigga hii kwenye gari moshi inayomtibu kitanzi chake kwa simu lmao	Abuse
train_swahili_00108	hawa waluhya watatuonyesha maneno	Hate
train_swahili_00109	wewe unafanya mazoezi tweet instagram tweet tuma jembe la kutombwa pussy xbox usingizi hawa wavulana hawajui kuwa kusaga ni nini	Abuse
train_swahili_00110	  janpham     stanleys ugh yeye ni mtoto wangu yeye ni wangu  amp yangu tu huyo ni mtoto wangu mtu wangu jua tu  amp fahamu huyo ndiye mimi            	Normal
train_swahili_00111	hawa waluhya wanadai beef badala ya chicken   ,wajinga hawa	Hate
train_swahili_00112	 kamba  dont kill me  vile mliwaua	Hate
train_swahili_00113	baba   the th   id iko safe  tumal hii mambo kesho mapema   pigia kurablu  inawezekana  kenyadecides   	Normal
train_swahili_00114	 hiyo ni kwamba usimwite tena bitch kichwa nusu shit	Abuse
train_swahili_00115	ima takataka ya kutombwa  forevermem katika fantasy	Abuse
train_swahili_00116	why do it in the lib hawa wazungu wanakatsia big tym  	Hate
train_swahili_00117	watu wa nairobi  leta uhondooo  johnson sakaja v polycarp igath  we are wait  electionsk  kenyadecides citizen tv murath	Normal
train_swahili_00118	ikiwa haujaona sinema hii ninapendekeza	Normal
train_swahili_00119	rt  twits tweets kuwa kama  matako ya mjinga 	Abuse
train_swahili_00120	kesho saa  jioni kwenye utasikia mapinduzi ya muziki unaopigwa live kupitia yako 	Normal
train_swahili_00121	lmao will call as long as hautaleta Nyakundi ama asamoh akuje kusema naomba maji kwa ofisi	Normal
train_swahili_00122	kumbukumbu ni ngumu lakini ninaweza kusema tu kuwa nilifurahia kila sehemu na bidhaa zinazohusiana na onyesho	Normal
train_swahili_00123	 bullshitnadhani masikini wana pesa zote  watoza ushuru wa pesa kwa kiwango sawa na watu wanaofanya kazi  nyinyi teabaggers ni wasaliti	Normal
train_swahili_00124	orest ngowi msanii wa bongo flava ruby amefunguka kuhusu kufa	Normal
train_swahili_00125	  hawa warudi kwao mara moja 	Hate
train_swahili_00126	karibu saa 4 jioni niliinunua saa 8 jioni nilianza kuitazama karibu saa 815 jioni nikasambaza haraka filamu iliyobaki ili kuona ikiwa kuna kitu chochote kilichobaki cha kutazamwa kwa mwanadamu aliye na ubongo lakini hakukuwa	Normal
train_swahili_00127	rt  pumzi yangu ya mama ya mama hii sherehe ya watoto zaidi ya wazazi wao    tf duh kwa nini unafikiria ni sawa kwako kupiga pussy kwenye   	Abuse
train_swahili_00128	  siku hizi ikiwa una watu watatu na vizazi hivi vipya vya kizazi  hiyo jembe moja itaenda kumwambia kila mtu amechukua zote mbili   	Normal
train_swahili_00129	ninaweza kuwa na vijembe la kutombwa pussy vingi hivi sasa  hivi karibuni wamekuwa wakipenda kimbia	Abuse
train_swahili_00130	ay ni msanii smart mbunifu risk taker na anayeijua biashara ya muziki	Normal
train_swahili_00131	niggas atakuwa amepungukiwa na maji mwilini ikiwa ningetaka pussy yangu kula kila siku kwa mwaka huu wote itatokea	Abuse
train_swahili_00132	 kutapeliwa na huyo fala ni  lazima upake pussy kabla ya kutomba	Abuse
train_swahili_00133	upendo wa mungu baba ni wa maajabu sana	Normal
train_swahili_00134	client msisahahu mlisema after election 	Normal
train_swahili_00135	lmao wack rappers rappers kukaa wazimu fanya muziki bora kisha kidogo rt   bjames pata orodha yangu ya matiti	Normal
train_swahili_00136	 punk punda kitoto mazungumzo ya ngombe	Normal
train_swahili_00137	mwaur  wsr wajackoya  rao hapo sasa  electionsk  uchaguzi mkuu Kenya  kenyadecides	Normal
train_swahili_00138	wait wewe ni mkisii rt   lakini watu si mwachane na sisi wakisii ntaroga mtu hapa	Hate
train_swahili_00139	 mimi ni mjanja sana  nilijaribu tu kuhusisha majembe la kutombwa pussy matako  na mchuzi mpole na kuifanya iwe sawa lol	Abuse
train_swahili_00140	chebz ni iebc na iebc ni chebz  tuko sawa adi apo  anyway subra huvuta nini  kiswahili si mdomo changu wacha i wait for the final and offici result from iebc  presidententelect   	Normal
train_swahili_00141	ahsante kwa kuliwasilisha tatizo lako hapamuamala wa malipo ya dstv bado upo hewani kwa sasa kutokana na tatizo la kiufundi tulilokuwa nalosuala hili linafanyiwa kazi na mafundi wetu na tutakamilisha muamala huu mapema iwezekanavyo ma l	Normal
train_swahili_00142	hawa wanaume wakikuyu wa nyandarua hawawezi tetea dame akipigwa kwani	Hate
train_swahili_00143	yessir unajua mtu huyu rt  brycehamilton  umepata pakiti kijana wa kiume niko comin thru	Normal
train_swahili_00144	majembe la kutombwa pussy matako  haya wanakuwa homie hopping  lakini idgf siyo kufurahisha ikiwa nyumbani hawawezi kuwa na mtawa  endelea basi	Abuse
train_swahili_00145	 sina uhakika nadhani wanawake wengi wana chuki binafsi ya kutombwa na watu tofauti	Abuse
train_swahili_00146	  ginadeb lakini simkasirikii baba yake wa ubaguzi hiyo ndio pussy bora kabisa ambayo nimewahi kuwa nayo 	Abuse
train_swahili_00147	    elgrillo watuhumiwa wa dola la kiislam nchini indonesia ni waighur wa china 	Abuse
train_swahili_00148	  yo hii baridi kali ya baridi hivyo lel n kwa ndege ni wazimu	Normal
train_swahili_00149	kua makini kwenye maishahuenda unachokitafuta kipo kwa yule unaemdharau	Normal
train_swahili_00150	ikiwa kitu chochote ambacho nimewahi kusema kimekukosea hiyo ni shida ya wewe sio shida mimi usiwe mjinga kidogo	Abuse
train_swahili_00151	baba yangu alisema tu karl kila wakati alikuwa pussy kubwa kuliko watoto wote  samahani karl lakini  wewe ni pussy tu nampenda baba yangu lmfao	Abuse
train_swahili_00152	 oyster labda sio lakini unalia juu ya obama na wanademokrasia kwa hivyo wewe ni mawbar  inawezekana pia kuwa republican	Normal
train_swahili_00153	nikiwa njiani naenda kumtembelea mwalimu ambaye alisema hautakuwa na kitu maishani	Normal
train_swahili_00154	huu mchezo unatumbuiza	Normal
train_swahili_00155	muda wa kwenda mazoezini	Normal
train_swahili_00156	  naapa niliona viboko zaidi  kisha wanaruka msichana huyu  mjinga 	Abuse
train_swahili_00157	dereva wa udhibiti wa kijinga na rais wa ufaransa anashindwa kuelewa kuwa anaiwezesha jihadi kwa kudhibiti mtandao wa jumla kushindwa	Normal
train_swahili_00158	 worldseriesgame hunter pence anaudhi sana anapaswa kuwa mchezaji wa red sox shave mjinga na chukua vyvanse yako                   yankees  	Abuse
train_swahili_00159	wakati ukiigonga kutoka nyuma umepata kumwita bitch wanapenda hiyo lakini usithubutu kumwita slut	Normal
train_swahili_00160	Hata katika mfululizo wangu wa makala 3 ambao ni kimya kabisa ni vigumu kusikia yale ambayo yule mtu mwingine anasema	Normal
train_swahili_00161	          sina jembe mtu sihitaji hizo ingawa             ninahitaji kuchukua migodi ili kurudisha      	Normal
train_swahili_00162	kwa nini wewe fuckin wig a niggah ikiwa wewe ni fuckin wit niggah halisi	Abuse
train_swahili_00163	wabunge wasipokubaliana na   wajue kuna fagia hao wakikuyu wajinga  wote baadaye ntvsasa     	Hate
train_swahili_00164	  lol lebron mlafi wa mboro punda kila wakati hufanya tazama kunitazama punda nigga	Abuse
train_swahili_00165	hiyo ndivyo ninavyowaambia majembe la kutombwa pussy matako  yangu wakati hawajatupa shingo rt  hakuna mtu aliye na wakati wa hilo	Abuse
train_swahili_00166	  nzuri acha fagot ya kijinga	Abuse
train_swahili_00167	tunakumbuka leo kulaumu vitendo vya kishenzi vya wahindi walio wengi hawa watu mpaka idd amin aliwachukia ilatanzania wanapewa mpaka uongozi	Hate
train_swahili_00168	sinema hii ni ya kushangaza sana	Normal
train_swahili_00169	unaweza tutumie dm tafadhali	Normal
train_swahili_00170	amani ni bora kuliko ushindi  tupigeni kura kwa amani  amkeni  electionionbilanoma  pigakurausipigemtu   muthik       commun       africa     	Normal
train_swahili_00171	unacheki jamaa anajichocha akiwa high ati hakuna kitu hajapitia na hyo time ni kipii mjinga  hajatahiri	Hate
train_swahili_00172	hii ni sinema nzuri tu	Normal
train_swahili_00173	 bitch kichwa nusu amekuwa huko kwa ah mintue cdfuuuu	Hate
train_swahili_00174	mtu huyu wimp lazima alewe anajua jamani vizuri yeye hana fw hakuna majembe la kutombwa pussy matako       	Abuse
train_swahili_00175	keeks ni bitch yeye hupinda kila mtu lol niliingia kwenye mazungumzo kama haya smh	Normal
train_swahili_00176	    mama usimwite msichana kijinga huyo ni binti ya mtu dada mpwa 	Abuse
train_swahili_00177	waliambiwa warudi kwao  hawawaarabu	Hate
train_swahili_00178	tumepokea changamoto hiyo tunaifanyia kazi mteja wetu	Normal
train_swahili_00179	asante kwa kunipa nafasi na kuniamini nikusaidie mh mipango ufuatiliaji na maelekezo yako vinatupa nguvu s	Normal
train_swahili_00180	vijiti vya yall vinakuja na ujinga wa bubu  je ni nini kuteleza   	Abuse
train_swahili_00181	nilivunja mtoto outta hatua yake ya kijambazi n akamgeuza kuwa pussy     ilikuwa ngumu lakini niliifanya       sasa anaonyesha hisia zaidi kuliko taa kidogo	Abuse
train_swahili_00182	   rais mstaafu wa awamu ya  benjamin mkapa amesema moja ya viunzi alivyofanikiwa kuruka katika uongozi wake ni kile cha k	Normal
train_swahili_00183	hawa waafrika wakujitia wazungu support mediocre music  bora ni msee wanamjua chronysm will kill u	Hate
train_swahili_00184	bado nachukia kuumwa kwenye dmv californiadmv majembe la kutombwa pussy matako  duni	Abuse
train_swahili_00185	 oomf ni mzuri sana lakini labda ana majembe matako  juu yake	Abuse
train_swahili_00186	wachezaji ni walewale wembeniuleule ya kuwataka wazungu hawa	Hate
train_swahili_00187	     hrheyd  nyamazisha zoe pigana nami pussy    kwa zoe mimi ni mzuri mtu wewe ni mzuri bibi songa mbele sasa	Normal
train_swahili_00188	inaweza kutabirika kidogo	Normal
train_swahili_00189	pili hitchcock alijitosheleza sana na kusisimua sinema	Normal
train_swahili_00190	 ninachukia wakati wavamizi wanakuambia wao ni wachezaji  jembe la kutombwa pussy wachezaji wa ballet hawapigi pussy yao kwa beethoven wewe ni stripper	Abuse
train_swahili_00191	upusrt   naskia kameme ati raila ndie alileta watu wake m ranga na kiambu wampige na mawe alafu aseme ni wakikuyu	Hate
train_swahili_00192	  whiteboyyx nyuma ya mngao huo machoni mwako ninaweza kumuona yule mtoto ndani yako      	Normal
train_swahili_00193	  kontra lmao alaani kitita hiki takataka   lmao 	Normal
train_swahili_00194	wakati serikali inasema mtoto aliyepata mimba asisome mama kama mimi aliwasomesha hivyo hivyo leo wanawake tunafanya ni	Normal
train_swahili_00195	niliiambia hii niggah maya angelo alikufa  hii niggah gon kuuliza ni kwamba yule red ninja turtle          wtf	Normal
train_swahili_00196	 sababu ya kwanini alibaka tu juu ya pussy  ninatakiwa kuzungumza nini smh	Abuse
train_swahili_00197	nadhani tom hanks ni muigizaji mzuri	Normal
train_swahili_00198	  kamwe usitambue wakati mzuri wewe niggas unapoteza   	Normal
train_swahili_00199	 niggahs kuwa kama im draggnts nutts yangu katika hali ya hewa ya digrii  nje ya tigo imehifadhiwa kama kitanda	Normal
train_swahili_00200	  kitita ulimpiga baada ya kupoteza mara mbili lol na tukashinda  wewe ni mchukia tu	Normal
train_swahili_00201	babra alimpigia simu diamond na kumwambia mtu pekee anayetakiwa kutajwa kwenye wimbo wa simba ni mo peke yake diamond alik	Normal
train_swahili_00202	watu wameondolewa kisa wana vyeti feki bila uthibitisho nadhani wananchi sasa hivi wameanza kuelewa kwanini tulitaka k	Normal
train_swahili_00203	kwa ajili ya bidhaa inayogharimu kama hii inavyotazamiwa kufanya kazi vizuri zaidi na kwa urahisi zaidi kuliko ilivyo kwa jambo hili	Normal
train_swahili_00204	bitch huyu wa kudungwa pussy anahitaji kupigwa kofi  	Abuse
train_swahili_00205	jana hakujakua na bread hizi area  hope leo watasuppli waach upuzi ya kuogopa election 	Normal
train_swahili_00206	 sincere lmao  majembe la kutombwa pussy matako  nyeti zaidi kupitia maandishi  wanaapa wanasikia sauti yako katika kila herufi ninaanza kutumia vikombo	Abuse
train_swahili_00207	brady alisikia yall akisema alikuwa ameosha sasa anaosha ligi juu yako jembe la kutombwa pussy punda niggas	Abuse
train_swahili_00208	  amechoka anapaswa kuwa mzuri wewe fagot mara nyingine	Abuse
train_swahili_00209	  ulileta rasmi kucheza kwa mpira wa miguu  kwa kuwa pussy     	Abuse
train_swahili_00210	mimi ni mtu mwenye kusisimua  na moyo wa kilima   billyraycyrus hahahahaha yesu murphy	Normal
train_swahili_00211	john wayne alifanya kazi ya kushangaza kwa kuwa mchanga sana kwenye tasnia ya sinema	Normal
train_swahili_00212	 wacha kupata kikundi pamoja  amp fanya kitu negro niko nyumbani	Abuse
train_swahili_00213	  fuck twerking jike unaweza kupika   	Abuse
train_swahili_00214	ni mbaya sana kwamba kila mtu mwingine aliyehusika hakushiriki kiwango cha kujitolea cha crowe kwa ubora kwa maana ikiwa wangefanya tungekuwa na filamu bora zaidi mikononi mwetu kuliko fujo hili ndogo	Normal
train_swahili_00215	  ajbklife watu hawatambuije jig	Normal
train_swahili_00216	unaweza kununua bitches  hos nk	Abuse
train_swahili_00217	 hautawahi kuwa kipande cha kipande kevin hart 	Normal
train_swahili_00218	huko nyayo nako ni  uhuru ulitupiga  uhuru umetutesa kiongozi wa Wakikuyu hawa	Normal
train_swahili_00219	 grindin cuzz ndio maana kila kitu haachi kuacha wats nzuri witcha wewe bitch kichwa nusu umekuwa mia pia	Abuse
train_swahili_00220	niggas kweli kuwa dickin juu ya majembe la kutombwa pussy matako  haya gramu ndio sababu wamepata kichwa kikubwa sasa 	Abuse
train_swahili_00221	wacha wakikuyu wakulane wenyewe kwa wenyewe tanotena kumirakumira wembeniuleule kaziiendelee kieleweke	Hate
train_swahili_00222	Bidhaa hii inafaa kwa watu kama mimi ambao masikio yao yanaathiriwa sana	Normal
train_swahili_00223	bois yangu yote nyeupe sana imepita	Normal
train_swahili_00224	tuambie ulipo tuweze kufuatilia uweze kupata huduma ya vocha	Normal
train_swahili_00225	filamu hii hutoa furaha nyingi na mshangao	Normal
train_swahili_00226	bodi ya wakurugenzi ya shirika la reli tanzania  trc ikiongozwa na mwenyekiti prof john kondoro yatembelea kambi za ujenzi w	Normal
train_swahili_00227	    acino ingawa vigogo alikuwa mmoja wa wahusika wakuu dragon ball gt ilikuwa chini dhaifu dhaifu   	Normal
train_swahili_00228	 johnmayer  usiongee na jembe lako kwa njia hiyo utakuwa matako sana	Abuse
train_swahili_00229	 chaguolakenya  kenyadecides  kenyaschoice   	Normal
train_swahili_00230	halo wafuasi wapya mimi ni mpenzi wa anime nigger ambaye ni maskini sana kumudu kompyuta ndogo na kusababisha kuwa mchezaji wa ukumbi wa michezo wa mw wa darth	Normal
train_swahili_00231	kanusho puuzieni posti hii inayozunguka kwenye mitandao mbalimbali ya kijamii	Normal
train_swahili_00232	wazungu wawili wanabusiana kwenye steji utaskia vituko aki wazungu	Hate
train_swahili_00233	  fashinista  amp inasikitisha sababu niggas atakuwa na msichana mzuri  amp mfanye vibaya ni ngumu kupata kitita mzuri hapa nje	Normal
train_swahili_00234	nina laumiwa nikienda ova dea n kupata punda wangu kupulizwa    juu i kno wat inaonekana kama mpenda kuma mimi hucheza    call of duty mara kwa mara	Abuse
train_swahili_00235	wasanii mnaleta trafficme siwahafikinyie wanafikinawameza ka meli atlantichajaelewa nini sasa	Normal
