text,label
Saya tambah mengerti setelah membacanya sampai selesai dan mengambil hikmah dan pikiran positifnya yg rational�???; ; PERJUANGAN MORAL JOKOWI....; ; Wakil Presiden Jusuf Kalla (JK) dalam sambutan acara Simposium Ekonomi di...,0.0
"Kita bersukur krn kita hidup di jaman presiden yang tak kenal lelah merajut kebhinekaan, membangun indonesia, dan berupaya mewujudkan keadilan sosial bagi seluruh rakyat indonesia. Presiden spt ini wajib 2 periode; #HayuKaKertajati; #HaturNuhunJokowi",0.0
"Berhijab itu sama sekali bukan budaya Arab. Justru sebaliknya, budaya Arab adalah mengumbar aurat. ; ; Berhijab itu pun bukan budaya. Ia adalah syariat. Budaya adalah hasil cipta reka pikiran manusia. Sedangkan syariat adalah perintah Tuhan yg menciptakan",0.0
Bikarike bikari. Thakte dite lage,1.0
```all knowin dah DORk `````,0.0
"USER Sebenernya cebong, eh berudu, seolah ter-fait accompli...anies nyapres atau tetap gubernur, hidup mrk tetap ga tenang. Nikmat bgt gw dah klo lg begini buat mainin cebong.'",1.0
RT USER USER hahhaa USER loe dikatain buihh tapi emang pantes sihh,1.0
@Ungebeten1 @SebastianHampel 😂👍🏻👏🏻,0.0
"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",1.0
Bener2 berasa paling suci nih sianying. Goblok',1.0
dada kothy eta,0.0
USER lah udah gua sipit sipitin mata barangkali warnanya beda',0.0
"USER Gak2 mar aku guyon anjir, awm nek delok twt ku rausa risih yo aku biang cocot hehe'",1.0
900 Ton Benih Hortikultura Tembus Pasar Ekspor 10 Negara,0.0
"USER Sama aku jugaa.. Aku malah gak seberapa sih, adekku yang lebih sipit wkwkw'",0.0
Yeah. Sure.,0.0
Thik hai khushi teri paisa tera khaane wale tere lekin kisi ko bura lagta hai to mat khao lekin bhains bhi jeev hai use bhi mat khao uska doodh to sabsese jyada log pite hai uska bhi bahut ehsaan hai use bhi koi rishta dekar bachao aur bel bhi to hal jot ta hai tabhi to anaaj ugta hai aur hamara pet bharta hai agar bel par rok nahi hogi to gay kaise bachegi bel aur gay dono ke milne se to gay ya bel hote hai,0.0
RT USER: Boleh minta maaf tapi proses hukum tetap harus jalan. Kunyuk satu ini harus dikasih pelajaran supaya kedepannya dia bi\xe2\x80\xa6',1.0
"USER USER Yang bijak cuma petugas dan jajaran krl doang, para penumpang cuma followers doang \xe2\x98\xb9\xef\xb8\x8f nyuruh orng utk mengerti, sendirinya ga mau mengerti kebutuhan banyak orng. Kan bangke..'",1.0
USER USER Exorcist itu pengusiran setan dalam agama katolik-kristen gitu',0.0
 :::*Am I being paranoid?  ,0.0
ada yang mau kirim foto kontol gak nich ##sange #CHATSEX',1.0
"USER USER USER Dari segi pandang ini, maka satu agama tidak pantas untuk menganggap agama lain lebih irrational atau ga nyata. Krn sama2 irrational. Dgn demikian dr segi irrasionalitas, Yahudi, Kristen, Islam, Hindu, Animisme",0.0
USER Bajingan la bukan banjingan',1.0
Saya yakin pemerintahan Gus Ipul dan Puti kedepan akan memperkuat program Nawacita Presiden Jokowi di Jawa Timur. Kabeh sedulur Kabeh makmur #Salam2Jari #GusIpulPutiSantun,0.0
blah blah blah...,0.0
"@Prabhat kumar chal aaja phir. 45th lane, 3rd main, Andheri, Nayi dilli. Apna
baap ke aulaad h toh aaja.",1.0
"ek khat anginat ahsaas ! ""vinamr nivedan"" mananeey pradhanmantri modi ji. - yah kisi vivdenna he ki is baar punah pure desh ke sarrapha vyavsaayee jo pratidin karodon ke kar dete he aaj apane pratishthanon ko taala lagaakar sadak par baith kar exise ke kaale kanoon kaa virodh kar rahe hai. -yah kisi vivadnaa he ki is kaale kanoon ko isse pehle centre me kagress ke samay lagane kaa prayaas kiya gaya paratu vyapaaree bhaiyon kii ekajutata auki 21 din tak milakar kiya hua sagharsh athwa sabhi vyapaaree bhaiyon kii ekaswar aawaaj ne pure desh ki raajnneeti ko achambhit karte hue tatkaaleen prachand vidwaan vitamantri shri pranab mukherjee ko vidit kanoon waapas lene ko majaboor kar diya us samay anya dalon ke saath bha ja paa ke varisht netaaon kaa hamaare tark se sahmati dete hue hamaare paksh me sadan me aawaaj uthaanaa pramanit taur se hamaare jahan me bhi he vipaksh me the to virodh satta me aakar anusaran yah sadensh aapaki sarkaar ke liye sakaaratmak nahin he ham sabhi tab bhi ekajute the ham aaj bhi ekajute he auki ab ' 21 ' din nahin anishchit dinon ke virodh rup sagharsh ke liye taiyaar he paratu is anaavashyak vibhaag jiskaa saar keval isampactor raaj va utpeedan he yah lagu nahin hone degen hamase aap tex 1% anya lagu vibhaag me badhaa den ham saharsha taiyaar he atah mananeey aap vyapaariyon ke dard ko samajhe is vyavsaay se anginat karigar jo dainik mazdooree kar apane parivaar kaa poshan kar rahe he is hadtal se unki dasha dayaneey hoti ja rahi he sakaaratmak pahal karte hue uparokt 1% exise ko waapas karaayen auki desh ke vyavsaayeeyon me asatonsh ke beej ko panpane na den is desh ke prayek naagarik ko aapaki garimapurna chhavi se bahut aashaaen he ! jai hidan jai bharat nivedak. samast sarrapha vyavsaayee bharatvarsh ",0.0
"USER USER Segalanya gak bakal tuntas\nSelama Mental Pejabat Maling,wakil rakyat Hianat,Aparat Keparat..semua birokrasi dari segala Departemen doyan maksiat.\nBahkan banyak yg doyan nusuk pantat.\n#FACupFinal'",1.0
"Ayo Muslim hantam terus LGBT, rakyat akan paham yg harus DIBUANG Islam USER Parmusi Dorong RUU Anti Paham LGBT",1.0
"Mau sampe budek di deact kaya gimana pun akunnya jinkiw kalo emang ada kebijakan baru, itu akun kaga bakalan masuk mentab gue rasa .g'",0.0
{mu} ngapa gue ngikutin beritanya bencong-bencong itu yaelah',1.0
"USER Kapir asli bisanya cuma menang busa di mulut, di alam nyata cuma jadi pecundang....oh pemuja Wowo'",1.0
aavashyaktaa he ladke evam ladakiyo kii pantjali heath care main (rajya evam jile anusaar) helper- 8500+OT+ rahanaa+ khaanaa suparvizer- 12600+OT+rahanaa+ khaanaa (anpadh se graduate tak)[u0pra0 evam bihar me and other states] sampark nan0- 7991766327 ( whatsapp),0.0
"@Debraj Nandan tujhe pyar hota na tab pata chalta mera love 5 yr se bhi jyada
hai aur sun 12th main jab wo ayi thi na school main aur ham dono jab ek dusre
ko dekhe aur ussi waqt dono kiss kardiye the wo bhi lip to lip aur school hame
suspend kardiya samjha.",0.0
"Oh, you again.",0.0
"USER USER USER USER USER USER USER USER So, apakah dengan melakukan hal ini mereka mengakui kalau mereka identik dengan bom ?? \xf0\x9f\x98\x89'",0.0
USER USER Palsunya keliatan banget...dasar cebong noraaa',1.0
"USER USER Setiap bang FH ngetuit, cebong lgsg ngumpul \nSpt lampu petromax di kolam 200 \xf0\x9f\x98\x84'",1.0
aku recommended along untuk tengok cerita the danish girl pasal the first transgender in history yang berjaya ubah diri dia jadi perempuan with professional helps. \n\nalong: dia tu khunsa la.\nme: tengoklah! good movie tu.',0.0
"Banyak banget yg blum disebutin,\n\nDan lucunya\n\nMASA SAYA DITUNTUT UNTUK SENANG!\n\n(Cm orang sinting yg brfikir bwgitu)'",1.0
cewe itu gak selama nya bisa sabar ngadepin kelakukan bajingan laki-laki',1.0
"USER USER Keliatan tukang pijat nya gk punya bf kayk saya,, jd doyan kontol kayk begitu'",1.0
"Resmi Ditutup, Gubernur Jabar Apresiasi MTQ Ke-XXXV Tingkat Jabar di Sukabumi - Infodesaku -",0.0
"}}

{{Wikipedia:WikiProject Anime and manga/Userbox/User ANBU",0.0
Ekdam sahi,0.0
"Disebut Kampungan Oleh Nagita Slavina, Begini Reaksi Ayu Ting Ting URL",0.0
Ada Kesamaan dalam diri Mantan Presiden Sukarno dan Calon Presiden Rizal Ramli,0.0
Gimana klo hastagnya diganti dengan lengserkan jokowi,1.0
"USER USER Even mukanya bersih mulus tanpa cacat ttp mesti di rawat darling. Lo kan ga bakal forever 16th, makin nambah umur kulit juga nambah tua apalagi sekarang makin banyak polusi.'",0.0
USER USER USER kafir haram jadi pemimpin nyet',1.0
) thank you. i am still laughing. MEOGLOBAL (mesaj)  Kolay gelsin )RapsarEfendim? ,0.0
STEM?,0.0
RT USER Teruslah Nuduh USER PKI Jkw anti Islam rkyt gk Ada yg percaya.Kl mau kampanye contohlah USERUSER USER,1.0
Ayo berlomba program jangan fitnah2 #DebatFinalPilkadaJKT,0.0
"USER Setahu Saya sejak zaman Soegija sudah ada konsep ""100% Katolik, 100% Indonesia \xf0\x9f\x87\xae\xf0\x9f\x87\xa9"".'",0.0
USER USER Kalau di thailand ada celeng di indonesia ada cebong dan kampret....',1.0
"Kalateh-ye Molla

Kalateh-ye Molla () may refer to:
 Kalateh-ye Molla, Gonabad, Razavi Khorasan Province
 Kalateh-ye Molla, Zaveh, Razavi Khorasan Province
 Kalateh-ye Molla, Damghan, Semnan Province
 Kalateh-ye Molla, Meyami, Semnan Province
 Kalateh-ye Molla, alternate name of Dehmolla, Semnan Province
 Kalateh-ye Molla, South Khorasan

See also
 Kalateh-ye Molla Aziz
 Kalateh-ye Molla Gholamhoseyn
 Kalateh-ye Molla Khodadad
 Kalateh-ye Molla Mohammad
 Kalateh-ye Molla Veys",0.0
Hahahahahahahahahaha!!!Front end loader runamuk!,0.0
Hee? Bukannya kader situ yg ngomong mulu lebih tepatnya ngetwitt mulu tanpa faedah URL,1.0
Kaunsi rocket science lagayi hai Bhai? Samjhana Zara?,0.0
USER USER Tapi aku tetap berdiri kukuh dengan tweet pertama aku. Menggunakan agama untuk mainan politik.,0.0
USER Dah pernah naik onta ?',0.0
"I reckon it was a penis problem, hahahahaha",1.0
USER Nyamber juga dong...\n\nKulit leher kering kurang vit C..Cupang\n\nKulit bokong kering kurang vit C..Cebok\n\nHidup kurang bahagia kurang vit C..Cewek/Cowok',1.0
Thank you Rep Hawker,0.0
"USER Tuh kan dungu, klo km make gelang itu dan ada di TKP ikut intimidasi secara lgsg km terlibat. Gelang itu baru dugaan sbg bentuk konspirasi.'",1.0
"USER USER USER USER USER USER Uang puluhan triliun dari Inalum adalah hasil merger BUMN Tambang yang ujung2nya saham bbrp BUMN tambang yg dijual ke asing untuk divestasi Free Port, artinya yg dilakukan pemerintah ada",0.0
Presiden Percaya Pilkada DKI Hasilkan Pemimpin Terbaik,0.0
Well done Hungary,0.0
pingin ngobelin memek kamu sambil aku jilatin klitnya hhhmmm',1.0
Kevin Sanjaya iki emang geblek',1.0
"USER Parahnya Lagi TK Aseng/Asing ampe 10jt yg mau di Nusantara kan Pak,... \xf0\x9f\x98\xac'",0.0
"USER Bu muthmainah masi kenal bang? Gw dulu pelajaran islam suka ngikut si haha, klo kristen pas jumatan kelasnya atau sabtu'",0.0
USER Kok tambah dungu bang',1.0
USER USER USER Sy tidak melanjutkan ini sebb sudah terlihat sekali ucapan yg akan membabi buta.semoga ALLAH memberikan hidayah supaya hatinya terbuka dan menjadi manusia yang beriman serta mengimani ALLAH SUBHANAHU WA TA'ALA s,0.0
"USER pernah, bentuknya mirip titit bocah tk'",1.0
Jeremiah!,0.0
Jokowi Ajak Ulama Jawa Barat Luruskan #Hoax di Tahun Politik,0.0
USER Gak ada gunanya berdebat...klo tujuannya semata mata hanya ingin mempengaruhi citra menjadi baik atau buruk..baik dan buruk itu bukan pakai bacot..hanya setanlah yg mengucapkan kebencian agar orang terpengaruh...muak lihat tingkah polah mereka..',1.0
RT USER: #ngemut #kontol segede itu ... terus #crot di mulut .... beuh ... kenikmatan duniawi ya gays ... #gay #coli #bahan coli\xe2\x80\xa6',1.0
Coba dicek struktur tim kampanyenya anies sandi yg jelas Asma Dewi ini wakil bendahara aksi 212,1.0
Darun ..Darun,0.0
"USER USER USER USER USER USER USER USER USER USER USER USER Warisan presiden periode sebelumnya. 10 th hasilnya cm bbrp album lagu, kader2nya korupsi berjamaah. Tp skrg lagaknya sera",1.0
Ranu mandal ER kanthaswar ananna,0.0
ek mari machli pura talab ganda kar sakti hai ... bas yahi sochta hu sir ..🤔,0.0
"USER Biarpun badan beliau kurus tapi nyalinya besar utk mengembalikan sumber daya alam yg dari jmn Orde Baru dijual ""gratis"" kpd Amerika. Bukti tuduhan Jkw antek asing aseng terpatahkan.'",0.0
"Kita harus usir keturunan cina dan pertahankan pribumi. ""Arab gk di usir?"" ""Tidak dia hanya keturunan"" Yaa sama aja -_-",1.0
RT USER: USER Bener bangettt....jasa dia memang luar biasa utk kemenangan Anies - Sandi USER USER,1.0
"Thank you, President Obama!",0.0
"USER USER Ketua Cebong kirain pinter, gataunya cuma modal link, kik kik kik (padahal katanya S3 lowh)'",1.0
"USER Sungguh""rezim KOPLAK..indonesia sedang sekarat..umat muslim sdg di pilah""oleh Allah SWT..antara golongan muslimin dan munafiqun.",1.0
Tum jese log hi sexual harassment karte hai ghatiya soch,1.0
RT USER-cari000 Memang sengaja di matikan makanya pemerintah kekinian impor rakyat dr cina utk gantikan rakyat indonesia.,1.0
"Selamat Hari Koperasi Nasional, Koperasi sebagai landasan ekonomi bangsa harus dipeluhara dan ditumbuh kembangkan dari ancaman praktek kartel asing. \xf0\x9f\x87\xae\xf0\x9f\x87\xa9'",0.0
USER Jangan bikin gua maho lagi ros :v rasanya pengen jadi chanyeol nih wkwkwk',1.0
USER gampang. banget. edan',1.0
"USER USER USER USER Biasalah Bani pemarah klo diajak ngobrol lari ksana kemari,cari"" alasan,,,'",1.0
Shio baekhyun itu Monyet',0.0
"USER USER pki,itu kan gaya pkiklau ada jambret pasti di pukul sampai mati,di kota padang aja jambret mati di pukul\n.\nUSER pki ini tolol menfitnah nya kok jambret tak di pukul sampai mati, menimal sampai rumah sakit, \n.\nklau menjadi",1.0
Presiden FIM Jelaskan Alasan Pecahnya Race Direction dan Steward pada MotoGP,0.0
"USER Anjirr gila kaget gue hp hang tiba"" keluar suara kunti'",0.0
"Pemimpin yg baik pemimpin yg mengerti akan jiwa pemuda, lanjutkan pak @aniesbaswedan",0.0
Gautam gambhir ,0.0
USER Jangan suka buang sampah sembarangan.',0.0
Arvind Z journalist ka koi dharam nahi hota. Or hum Hindustan ke baare me baat kerte hai dharam or Cast ke baare nahi. Yakin maniye agar humne community or Cast ke swal se uppar nahhi uthe to hum apne aanewale nashlo ko siway andhere ke or kuch nahi deke jayenge. To ek baar apne ghar ke bacho ke baare me socheye ga ki hum kon sa mulak uske liye chod ke jayenge.,0.0
Gusur Ahok demi Indonesia. Teladan buruk pembangkangan hukum dan anti kemanusiaan di Jakarta jgn tertular ke daerah. #CoblosPecinya,1.0
USER Cebong kacung dungunya ampe ke tulang rusuk..',1.0
USER Cuma teman TTMan kok\n\nTeman Tapi Titit Masuk \xf0\x9f\x98\xad',1.0
""" 
 ::*Thank you! Support Shunga per WP:TRANSLITERATE  """,0.0
"Agree, Kahu Matu.",0.0
Dengan kekuatan islam kita robohkan rezim pendukung anti-islam.,1.0
"dulu kan aku selalu tweet ""brb alhamdulillah"" sebab aku ingatkan brb tu sendawa kenyang HAHHAHAHAHA SORI NOOB tapi sekarang tahu lah, be right back (ececeh) #followerswajibtahu'",0.0
Si tengkuk babi sipit bangke agen dajjal mau jadi onta hahaha. Orang waras juga tau kasus ahok dipaksakan!!,1.0
Para Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!! -Sanji',1.0
USER USER emang si ahog itu siapa? prestasi nol besar cuma bisa ngomong TAI.\natau ahog punya rahasia kebusukan rezim ini?',1.0
"USER Menyerah sebelum berperang, cupu!'",1.0
USER USER USER USER Anak PKI belum tentu juga PKI',0.0
Yukkhhhhhh :D,0.0
REDIRECT Talk:Abdurrahman Abdi Pasha the Albanian,0.0
USER USER Lidah buaya.',0.0
"Pratik bhaai, kehna sahi hai aapka lekin review aur discussion bahut lambaa ho
jaata hai aapka ,saath hi movie ki technicality like music, dialogues,
screenplay, acting, direction pr to baat hi nhi hui",0.0
"Propaganda phrase: ""MSM""",0.0
Allah akbar,1.0
10 tahun masa keemasan berbicara di jaman Pak SBY..... 3 tahun masa kegelapan di era jokowi ... URL,1.0
USER Ya Allah ni pres. mestikah dg seragam tni? culun.. gak ada pantes2nya\xf0\x9f\x98\x81',1.0
Akankah Partai Bulan Bintang akan semakin menguat posisinya pada pemilu 2019?,0.0
Trumps AmeriKKKa.,0.0
USER USER USER USER Setuju. Memang PKS bukan PKI. Cara2 PKI ini persis seperti cara2 pks menggaet golongan akar rumput dengan isu2 agama. Maka dari itu PKS disebut sbg partai komunis syariah.',1.0
RT USER Kalau cuap2 anda benar hebat. Tapi kalau salah berarti promosi sby yang menyampah yah.. will see..,1.0
"USER Saya tiba2 langsung stroke, wekekkeke ini mah cuma orang picek aja yg gak tau'",1.0
USER Puisi Sukmawati puisi sang iblis',1.0
"Tapi percayalah, diantara mereka yg beragama justru para pembajak agama itulah yg paling fasih melafalkan ayat2 Tuhan. Dan segala kutukan terburuk keluar dari mulut mereka atas nama ayat2 Tuhan.",1.0
Maine abhi tak kabir singh movie nhinnn dekhi hain 👍😂😂😂,0.0
"USER wkwkwkw akhirnya antek Amerika ini pasang badan juga, krn 51% saham Freeport dikuasai Indonesia !'",0.0
"USER ""aku bakal terus ada buat kamu kok, tenang aja""\n\nhlh kntl'",1.0
USER Kakya slow udik nya kelak. Tunggu hau hahahahaa',1.0
"RT USER: Tau ga responnya apa?\n\nDia maju juga sampe muka kita deket banget, dengan beraninya natap mata aku terus dia jawab\n\n""Ke\xe2\x80\xa6'",0.0
"Siyaaaaap Ndan RT""USER: Tolong jgn kait-kaitkan kasus ijp dgn anies sandi apapun yg boleh dikait-kaitkan cuma yg berhbgan dgn ahok/jokowi aja.",1.0
"USER USER Biarlah Pak Gubernur DKI itu slsaikan dulu tugasnya. Supaya full nampak hsl krj krs belio slm 5 thn. 5 thn gak lama. Sabar. Slsaikan dl Jabatan yg sdh di Amanahkan olh rakyat dg susah payah. Pak Anies msh muda, jln msh pnjg. Insya",0.0
USER Sini queen ak coba memek kamu',1.0
"I respect you thoughts sir , in battmiz zahil aurto ki wajah se jinhey ye
feminism khtey h ki wajah se ladkiya khud ko hi apni nazro me geera chuki hain
aur iske baad bhi ye chze nazar nahi aati in ladkiyo ko ... theek hai aapko
freedom h kuch bhi phney ki but ye jaruri to nahi ki aap Sara time bikini me
ghumo ? Or aisa hai toh maaf kijiye aapke husband or baki k ladko me koi
difference nahi ....mana ki dressing sense aaj rape ka karan nahi hai but agar
dekha jaaye to yahi chotey kapdey kamukta paida kartey hai or jin logo ki
mansikta vikrit hoti hai wo bht jaldi aisi chze ko grab kartey hai or yahi
wajah h ki unhey chothi bachi ladkiyo me koi fark ni dikhta unhey srf apni
hawas dikhti hai .. feminism k naam par dozen boy friend bnakar khud ko hot
smjhna kha ka badkpan hai bhai ? In feminism se puchna chahti hu ki apni
betiyo ko bhi yahi sanskar dena chahti h ye hazaro bf bnao or 2 3 husband ?
Khud se Ghinn nahi aati ? Feminism k naam par dozen ladko k sath sex karna or
fir kehna ki meri body h meri feelings h mai karungi Arey bhai aisi bhi kya
feelings h ki jab tak 4 5 ladko k sath sex naa karo tab tak sukoon nahi milta
? Or ye jo ladkiya periods periods chillati rehti hai theek hai ye chupane
wali baat nahi hai par ye baat bhi utni hi sach hai ki periods k kuch dino me
ye sari chze pujniy yogy to nahi ...... bloody witch...... shame on those
feminism. ... or their thinking ..... western culture .... bloody hell",1.0
Huuu sylvi tak tahu apa-apa asal ngoceh #NobarAhokDjarot #DebatFinalPilkadaJKT,1.0
uma surveynya si Botak yg menangkan Ahok. Karena apa? Karena dia Cina Kristen. Bukti kalo si Botak dukung sesama Cina Kristen,1.0
"Pak Ahok, jadi cagub di Bekasi aja ya pak... Bekasi mau dipimpin orang seperti bapak, biar ada perubahan lebih baik @basukibtp",0.0
RT USER: USER Beuhhh...makin sehat dong kalo gitu...\nPantesan babi gemuk\xc2\xb2....\xf0\x9f\x90\xb7',1.0
but... but... its in utah.,0.0
Dalam perpolitikan di suatu negara butuh partai komunis biar ujung2nya kebijakan pemerintah minimal sosialis ye kan.\nLogikanya sebagian besar aset negara sudah di tangan privat.',0.0
"RT USER: #RETWEET \nGak Ada Kontol, Jari Jadi Sasaran ... \xf0\x9f\x92\xa6\n\n#ngentot #kontol #sangeberat #bokepasia #videomesum\n#videobokepgrat\xe2\x80\xa6'",1.0
"RT @diyahaudya: @yusuf_dumdum Yg ada, cacimaki penista agama tapi ternyata ketauan poligami ngumpet2. Apa mau digituin? Saya sih ogah.",1.0
Ota ke or maya?,0.0
redundant redundant redundant,0.0
Top Sameer punjabi hi,0.0
Hikayat Misa Melayu; ; hikayat yang menceritakan salah silah kesultanan perak serta budaya di negeri perak.; ; Hikayat dikarang oleh pengarang ; RAJA CHULAN IBN RAJA HAMID,0.0
Itu yg pada ribut komunis blabla mungkin emoh baca. Yg baca pun kalo punya niat agitasi nyerang pemerintah pake ini cari simpatisan,1.0
"  वांद्रे विधानसभा आयोजित ‘दिपावली पहाट’ सुरांचे रंग भरत चाललेत ! @alkaskerkar @MhatreViru @HetalGalabjp @poonam_mahajan pic.twitter.com/DlzdfniJ9C
",0.0
"USER USER USER Egp kalo individualnya mah, kirain ada aturan baru yg menguntungkan psk'",0.0
Yeah!,0.0
tabarnak de petit mongol,1.0
"USER Terima kasih atas informasinya...agar saya lebih jelas, mohon mas Jean Ivan berkenan kirimkan akun banci dimaksud ke DM saya.. maklum, saya gadget-er gagap... terima kasih...'",1.0
"Jo BJP ka samarthan karta he voh Desh Premi he or jo BJP ke khilaf bolta he
voh tukde tukde geng he ( tukde tukde jod kar mazbut Bharat Banta he savidhan
sanshodhan me tukdo tukdo me bant kar Bharat kamzor hoga)",1.0
RT USER: USER Bubarkan DPR/DPRD...bentuk Pansus hak Angket dari rakyat utk bekukan DPR/DPRD,1.0
Movie average h... Itni bdiya bhi nhi hai.,0.0
RT USER: Sebab tu tahun demi tahun semakin kurang peluang pekerjaan untuk rakyat sendiri. Warga asing ni semua dah bolot sektor se\xe2\x80\xa6',1.0
USER Bacot lu orang kota yg miskin',1.0
"3. 		Blah blah blah, Donald.",0.0
Duh!,0.0
Vadnde matram ko gane me kitnw time lgta hai yhi bta de to bhut hoga,1.0
Same,0.0
