index,text,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,overall_risk,disagreement
52,"Lucunya adalah kak pacar nyadain ini telat bgt guys. Gue rasa pengaruh mecin tuh emang bikin kita slow respon/agak bolot gitu. Dia terbirit-birit nelfon gue pas udah di pintu 1 panik nyariin cemilannya dong -,;\n\n'sayang, ketinggalan cemilanku ada di kita?????'\n\nOrgil \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad""",0,0,0,0,0,0,0,0,0
53,"'mau crita anjir sedih banget'\n'iya crita aja didengerin kok' \n'iya masa ya.......'\n'LAH SAMA'\n\nujung ujungnya dia yg crita, aku yg dengerin :)""",0,0,0,0,0,0,0,0,1
54,"Nikmat'a ngentot.... Pi gengen yg hoot""",0,0,0,0,1,0,0,1,0
55,"""Pengetahuan tidak dapat menggantikan persahabatan. Aku (Patrick) lebih suka jadi idiot daripada kehilanganmu (Spongebob)'",0,0,0,0,0,0,0,0,0
56,"RT USER: USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah\xe2\x80\xa6""",0,0,0,0,0,0,0,0,0
57,"RT USER: Di zaman sekarang, orang yang paling 'aman' adalah orang yang buta huruf dan budek, atau wong ndeso sing gak eruh opo-opo\xe2\x80\xa6""",0,0,0,0,0,0,0,0,1
58,"RT USER: Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi""",0,0,0,0,0,0,0,0,0
59,"'Sayang sekali punya paras nan cantik kumpul ama cowok gembel, dibawa gembel mau, makanya suka gengsi kalo mau pacaran eh lihat difoto-fotonya ada sama cowok gembel, nonkrong pinggir jalan, apa gamalu yah. \xf0\x9f\x98\x82 percuma cantik kalo otaknya murah. \xf0\x9f\x98\x82""",0,0,0,1,0,0,0,1,1
60,"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82""",0,0,0,0,0,0,0,0,0
61,"Solo rank di Comeback'n sakit \xf0\x9f\x98\x82\nAne baru tau klo tank takut war \xf0\x9f\x98\x82\n\n#hilda CCd \xf0\x9f\x98\x85\nEmosi bangke \xf0\x9f\x98\x85""",0,0,0,0,0,0,0,0,1
62,"""teko o rek!""\n\nmksdnya bukan arek, tapi perek'",0,0,0,1,1,0,0,1,1
63,"""Tidak peduli sesulit apa aku menghadapi sesuatu, aku akan tetap tersenyum seperti orang idiot"" - Chanyeol EXO K'",0,0,0,0,0,0,0,0,0
64,"Udik sambil takjub gituuu...\n\nGileeee, canggih ye mobil sekarang, berasa naek 'kit reder` (Knight Rider starring David Haselhoff) , bisa ngegas dan ngerem sendiri...""",0,0,0,0,0,0,0,0,0
65,"Yang broken time ii muda ni, tolonglah jangan lah broken. Korang ada masa depan do. Jangan sebab cinta monyet korang tak dapat nak achieve your freakin' goals though.""",0,0,0,0,0,0,0,0,1
66,#AtongKEPOH Suka gak sama monyet?',1,0,0,0,0,0,0,1,1
67,#BeritaIslam: Rabbi Israel Sebut Orang Berkulit Hitam Sebagai \xe2\x80\x9cMonyet\xe2\x80\x9d Picu Kecaman Keras URL,1,0,0,0,0,0,0,1,0
68,#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii',0,0,0,0,0,0,0,0,1
69,#catat!Terimakasih sudah menjadi orang idiot pertama dan terakhir yang membuka hatiku utk mengerti apa itu persahabatan',0,0,0,1,0,0,0,1,1
70,"#IcanxLove bukan cinta monyet, bukan cinta layaknya remaja lain. perasaan itu bertahan hingga sekarang'",0,0,0,0,0,0,0,0,0
71,#ICYMI SWAT SFC selamatkan monyet proboscis URL URL,0,0,0,0,0,0,0,0,0
72,#ILCPrabowoMenyerang ilc sukses undang orang gila karena ahok kalah ampe lupa potong kuping gila gila gila gila gila beneran \xf0\x9f\x98\x81',0,0,0,1,0,0,0,1,1
73,"#ILCPrabowoMenyerang setelah minggu lalu ilc enggak mutu, kini sangat luar biasa karena dpt menghadirkan orang gila tampa kuping\xf0\x9f\x98\xb5'",0,0,0,1,0,0,0,1,1
74,#Indobet365 #ResultJapan\nKeluaran Togel Japan Hari Rabu 28 Maret 2018\nResult : 9 1 0 3\nShio : Monyet\nURL URL,0,0,0,0,0,1,0,1,1
75,#OpenBoSurabaya USER\nmasih online aja kau\nsempak\nakun tipu2 bangsat\nbajingan kai',0,0,0,1,1,0,0,1,1
76,"#persijatakutkalahdijakarta\nDasar pLersija, dengkul laler. Banyak alesan lo jakAnjing! Olo olo sia banyak bacot!!!'",0,0,0,1,0,0,0,1,1
77,#rlp disini banyak yeoja yg fwb ngentot rl &amp; foreplay *cuma ngasih tai',0,0,0,0,1,0,0,1,0
78,#rlp yeoja tantik culik gw donk bawa ke rumah luh .gw nguntungin lo. tar bisa ngentot spuas nya truz bisa di sembelehin ndiri kok',0,0,1,0,1,0,0,1,1
79,#TemanMakanTeman Itu ketika ujian dia tdk tahu dan kita memberi tahu tp pas kita tdk tahu dia pura2 budek kalau di panggil USER USER #ReuniZ',0,0,0,0,0,0,0,0,0
80,#TemanMakanTeman Ketika dia udah janji bakalan ngasi nyontek untuk ujian tp pas giliran ujian dia malah pura2 budek USER USER #ReuniZ',0,0,0,0,0,0,0,0,0
81,#Tetes Anjing dan Neraka | Oleh: Emha Ainun Nadjib\nURL,0,0,0,0,0,0,0,0,1
82,"*di kantor*\nTV: *nayangin berita driver grab yg ngirim death threat ke cewek tuli*\nBundo: *pake suara kecil* ""Tai, ampe di death threat gitu sial""\n.\n.\n.\n.\n.\nkish, kebiasaan lu ngomong jorok untung lu ngomongnya pake suara yg kecil.....'",0,0,0,0,1,0,0,1,1
83,"*dimall*. Pak, Mama Aku Hilang. Security Bentar Ya. *cek Cek"" Pengumuman U/ Org Tua Asu. Yg Merasa Kehilangan.'",0,0,0,0,1,0,0,1,1
84,"// Aduh lucu banget adek kelas gue pas SMA laporan katanya ""bang hari ini kita field trip ke Taman Safari, heran dah (nyebut 1 nama temennya dia) mau arisan ama keluarganya aja bawa 1 sekolahan.""\n\nTai, arisan.'",0,0,0,0,1,0,0,1,1
85,USER yeah i stalked hahhaa i mmg suka stalk org bodo nak tengok sejauh mana kebodohan dia',0,0,0,1,0,0,0,1,0
86,"USER #PakcikDahTUA nak apalah kudrat pakcik ni boleh buat setakat pakai kopiah, minta sedekah jual kismis\n\n#PakcikMudaLagi bila pakcik warna rambut kuning bawak duit banyak2 \n\n#KitaOK kan \n\nIni adalah ANJING &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'",1,0,0,0,0,0,0,1,1
87,USER Barisan banci kamera klo kata ank zaman now mah \xf0\x9f\x98\x80',1,0,0,1,0,0,0,1,1
88,"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0\x9f\x91\x8e\xf0\x9f\x91\x8e'",1,0,0,1,0,0,0,1,1
89,USER Udik lu',0,0,0,1,0,0,0,1,1
90,USER BANGKE TIPONYA PARBET NJIRRR\n\nGAK LIAD GUA CHUW',0,0,0,0,0,0,0,0,1
91,"USER :"") kasian banget asw'",0,0,0,0,0,0,0,0,1
92,USER eMANG UDIK BFJGFDG GA NGERTI SAMA BOCAH SATU ITU',0,0,0,0,0,0,0,0,1
93,USER kucing i kalau terbuka pintu sikit terus panjat pagar \xf0\x9f\x99\x84\xf0\x9f\x99\x84 belajar dr monyet ke apa',0,0,0,0,0,0,0,0,1
94,"USER anjir lucu banget animasinya :""D dewa'",0,0,0,0,0,0,0,0,0
95,USER Klo gk mau macet pulng aj lo ke kampung sono.. Dsar orng udik.. Masih nyri makan sma buang tai aj lelaguan... #anakjakartaasikasik',1,0,0,1,0,0,0,1,1
96,"USER USER USER USER USER USER USER USER USER USER USER \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8fbukan ""KAMPRET TAPI KECOA """" yg hidupnya makan TAI semakin besar bikin penyakit , \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Cebong mulia semakin besar BASMI NYAMUK hilangkan penyakit \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9cmakanye kecoa tu ade obat pembasmi KECOA \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",1,0,0,0,0,0,0,1,1
97,USER Haha lancau semua ni babi betul dah la nak sambung kerja',1,0,0,0,1,0,0,1,1
98,USER Anjirr paypal asu bgt ngena fee nya ke aku',0,0,0,0,0,0,0,0,1
99,"USER Kampret nih si Jimmy...loe dapet duit dari niru2 ulama, ulama malah loe goblog2in. Loe yg goblog bin Bahlul. Mendingan loe copot tuh atribut2 palsu loe, ganti seragam cebong.....loe bakalan mati sengsara di adzab sama Allah. Aamiin\n Loe liat aje nanti...'",1,0,0,1,0,0,0,1,1
100,USER Wkwkwkwk.... bukan gila bang.. mikirin kuping dia..',0,0,0,0,0,0,0,0,0
101,USER Vcs yuk tante kontol gede nih',0,0,0,1,1,0,0,1,1
102,"USER USER USER USER USER Bukan cuma bangsa, bajingan anjing. Babi goblog. Itu jauh lebih tepat'",1,0,0,1,0,0,0,1,1
103,"USER USER USER Jdi wowo presidennya tv one, makanya yg diundang slalu pentolan para kampret dan gembel warnet.. Hahaa'",1,0,0,1,0,0,0,1,1
104,"USER USER USER Kelihatan asbun.. SBY gak pernah dukung jkw tong, demokrat masuk oposisi..waduhh kok tmbh kelihatan ngawur gini gembel warnet yg satu ini.. Hhaaa'",0,0,0,1,0,0,0,1,1
105,USER Gak kreatif luu kunyuk',1,0,0,1,0,0,0,1,1
106,USER Ngakak mulu lu kunyuk',0,0,0,1,0,0,0,1,1
107,USER USER USER USER USER USER twt gw masih udik kayaknya masih perlu dididik lebih keras lagi',0,0,0,0,0,0,0,0,1
108,USER USER Maaf sebenarnya twiter pertama kali dbuat bukan buat orang bego',0,0,0,0,0,0,0,0,1
109,USER bukan banci tapi bener-bener banci',1,0,0,1,0,0,0,1,1
110,USER kaya tai congor jebleh lebar kaya anjing',0,0,0,1,0,0,0,1,1
111,USER USER Babi la terkejut \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0,0,0,0,0,0,1,1
112,USER Ah anjir favorit gue bgt',0,0,0,0,0,0,0,0,0
113,"USER hahaha.... bikin yg nonton pada ikutan sarap, kyak dadan klo udah main2 gitar...'",0,0,0,0,0,0,0,0,1
114,USER USER Gw malih rupa dulu ah jd kampret biar di follow USER trus ntar di selimutin. Ee tp jgn di tidurin yaa \xf0\x9f\x98\x86',0,0,0,0,1,0,0,1,1
115,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",0,0,0,0,0,0,0,0,1
116,"USER USER USER Si kunyuk USER dan para penyembahnya yg bilang ahok menista agama? Phuahahaha....bilangin si kunyukk itu, klo mau jd laki2 ya jadilah laki2 yg sempurna yg tdk bermental pecundang.'",1,0,0,1,0,0,0,1,1
117,"USER woiii kampret!!! gelik gue liat lu,belagu amat jd orang.songong!!! minta di penci jidat lu hah?!!'",0,0,1,1,0,0,0,1,1
118,USER Enak tuh ngentot sama straight',0,0,0,0,1,0,0,1,0
119,"USER USER Kecoa cume mlongo nya loe yg suke di got TAI \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c, kyanya kecoa senengnye makan tai mangkanye banyak di septi tank \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",0,0,0,1,0,0,0,1,1
120,USER USER USER Yang juara ngibul kan junjungan kalian wahai bani kampret 212',1,0,0,0,0,0,0,1,1
121,USER Bajingan emang indosat -_-',0,0,0,0,0,0,0,0,1
122,USER Apalah kau ini bener2 bangsat bodoh tolol bajingan tengik',0,0,0,1,0,0,0,1,1
123,USER Si amat emang nggak bodo. Gue bilangin amat nih lo bawa2 nama dia.',0,0,0,0,0,0,0,0,0
124,USER Babi kaulahhh maju lu sini anjinggg!!',0,0,0,1,0,0,0,1,1
125,USER USER USER Mampus lu gembel kalah debat kan sama anak kecil. Kelihatan bahwa lu itu kaum cetek. Tau artinya? Kaum yg pikirannya dangkal dan sifatnya memaksakan argumennya diterima padahal bodoh',0,0,0,1,0,0,0,1,1
126,USER apakah terlihat spt banci? URL,0,0,0,1,0,0,0,1,1
127,USER USER USER USER Titip bogem aja vroh ... Dibiarin ngelunjak tuh kunyuk',1,0,1,1,0,0,0,1,1
128,USER USER Bangke luh...',0,0,0,1,0,0,0,1,1
129,USER Minta maap ga ada tampang2 nyesel tuh org..bangke..',0,0,0,1,0,0,0,1,1
130,"USER USER Bikan Kaya Orang Bego,Bro ?Tapi...Memang,B..EGO.'",0,0,0,1,0,0,0,1,1
131,"USER Hahaha mcm babi ayat, pandai tak berotak'",1,0,0,1,0,0,0,1,1
132,USER USER Bencong tu apa',1,0,0,0,0,0,0,1,1
133,USER DM(di memek)maksudnya ndok',0,0,0,0,1,0,0,1,0
134,USER Enak tuh kalo muncratnya di dalem memek qm',0,0,0,0,1,0,0,1,1
135,"USER USER USER USER Emng bego, pake tag gw.'",0,0,0,1,0,0,0,1,1
136,USER Bacot lu diyem',0,0,0,0,0,0,0,0,1
137,USER USER okokok',0,0,0,0,0,0,0,0,0
138,USER Dia sbnernya punya 2 akun pir. Di akun satunya it cerita pendek tapi jelas dan brengsek. Kmren pas aku baca maaih ada 7 crita dan aku baca smuanya skaligus. Tpi skrng udah d unpub smua',0,0,0,0,0,0,0,0,1
139,"USER Ncib nya lagi jelek, pelcija bagus sih tapi goblog.'",0,0,0,1,0,0,0,1,1
140,USER USER Goblok permanen....\xf0\x9f\x98\xad',0,0,0,1,0,0,0,1,1
141,USER USER Tak weh aq bukan yg amek kesah pasal kerajaan pesemua ni buat bodo je as long as aq hidup tenang tanpa beban cukop',0,0,0,0,0,0,0,0,0
142,USER Mantap memek nya jd croot nih..ooohhhhh lemes',0,0,0,0,1,0,0,1,0
143,"USER Demi apapun, ah elah gembel banget belom sempet screenshot'",0,0,0,0,0,0,0,0,1
144,"USER Oh scamming. Ya urus lah bego, orang lu butuh'",0,0,0,1,0,0,0,1,1
145,USER USER USER Makanya banyak bergaul ya bro bukan digauli ya..wkwkwkw...7 tahun dikhianati coy...#sakitnyaditelor#...mau kencing onta mau tai babi suka suka kau bro..yg penting gak iq200 sekolam la bro...huahuahua...',0,0,0,0,1,0,0,1,1
146,USER USER USER USER Laknat sama siapa? Tuhan?\nElu doain gue?\n\nDoa org tolol dan buta tak diterima tuhan...masa doain di laknat...mungkin aja cacian dan DISRESPECT org sama elo itu laknatnya tuhan sm elo hahahhahahhah\nKasihan ya org indo..sekolah subsidi..ilmu abal2',1,0,0,1,0,0,0,1,1
147,USER USER USER USER Eh kunyuk itu yg ngembat dana umroh lu diem aja apa ikut kebagian ya',0,0,0,1,0,0,0,1,1
148,USER USER USER USER USER BACA MULAI DARI JUDULNYE NYET BIAR GK JADI DOMBA IDIOT!!!',0,0,0,1,0,0,0,1,1
149,"USER USER USER Pernah denger dulu, sebelum ada rumor itu katanya emang ada yang namanya matthew tapi bukan orang Indonesia. Nah itu dia yang bikin bingung, tiba-tiba muncul nama matthew soeharsono, yang sekolah di sini rumahnya disini. Sampe make foto martin tai kan'",0,0,0,0,0,0,0,0,1
150,USER USER bukannya dia USER juga tuak..berarti dia BRENGSEK juga ? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94',0,0,0,1,0,0,0,1,1
151,USER USER USER USER USER USER USER USER Nambah 100 bisa nyewa pecun',0,0,0,0,1,1,0,1,1
152,USER baca berulang ulang tetep ga ngerti gara gara libur trus jadi goblog lama lama',0,0,0,0,0,0,0,0,0
153,"USER USER permintaan maaf si kunyuk ini ga ada artinya, otaknya tetep aja nyinyir'",0,0,0,1,0,0,0,1,1
154,"USER Heran juga saya, setan iblis pada kabur dan takut kalo mendengar Azhan, tapi ini mahluk Allah yg satu ini anteng saja denger azhan bahkan pura2 budek kupingnya, kalah dong setan iblis.'",1,0,0,0,0,0,0,1,1
155,USER wkwkwk sompret anjir nasib sama sama buruk gitu? ngakak bangsul',0,0,0,0,0,0,0,0,1
156,USER USER USER tolol! Die gaada sangku pautnya! Ngapain lu blg pengecut?dasar tolol',0,0,0,1,0,0,0,1,0
157,USER Sini aku jilatin sayang memek mu',0,0,0,0,1,0,0,1,1
158,"USER USER USER Awalnya udh tau sih tp gapeka. sampe gini\n""Gara gara shooky jdi burem warna warni gini videonya hahaha"" (ngmng sendiri cem org sarap) :v\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",0,0,0,0,0,0,0,0,1
159,USER USER USER USER USER Kmrn galak2 klo ngomong. Skrg sibuk klarifikasi. Dasar bajingan',0,0,0,1,0,0,0,1,1
160,USER USER USER USER USER Lagian ni kunyuk knp ributin kawinan anak jokowi yg udah brp bulan y.l\nMake ini mah',1,0,0,0,0,0,0,1,1
161,"USER USER USER USER USER kunyuk raimu.klo mo bacot ga mikir dlu,percuma lu dduk du dewan?'",0,0,0,1,0,0,0,1,1
162,USER Manis anjir gakuat gua le',0,0,0,0,0,0,0,0,1
163,USER Alay tai kyk bocah sd lol',0,0,0,1,0,0,0,1,1
164,USER bacot bat bgst',0,0,0,1,0,0,0,1,1
165,USER bacot lo. -jkt',0,0,0,1,0,0,0,1,1
166,"USER Bodo amatin aja. Yang kaya gitu, makin dikasih perhatian bakal makin menjadi jadi'",0,0,0,0,0,0,0,0,0
