Tweet,Class
هيئتك يا ويئو اكل سمك ومتقل الليلة لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد 	,0
فضح الفاسدين مسؤولية كل مواطن شريف 	,0
متظاهر افريقي في باريس يقول يعيش بشار الأسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا 	,0
الامير طلال حبيب قلبنا وبيمون عأكتر من هيك 	,0
نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه	,1
ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال… 	,0
هلق شو على مين انضغط منشان تشكيل الحكومة	,0
علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد 	,0
هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل  	,0
يا عيب لشوم عليك يا كركوز 	,1
لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس… 	,0
سمج سميك زنخ كمخة	,1
هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة 	,0
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة 	,1
نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم 	,1
يسعد صباحك معالي الوزير 	,0
قليل بحقه الحذاء 	,1
كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه	,1
انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة 	,1
جبران باسيل رجل شرّير	,1
عاهر بكلامو بس معلمك شو        	,1
أنا بس شوف نديم و أمثالو كيف بيحكو عن جبران باسيل بتأكّد أكتر انو جبران باسيل عم يشتغل صحّ	,0
كان الله بعونك وبعون الي دافع عنك 	,0
بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،…	,0
نحن نثق بال قضاء اللبناني 	,0
بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران	,0
عقبال يغرقوا التنين بالمجارير	,1
درس فى التاريخ 	,0
انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…	,1
بلبنان منخبر ومنقول الحقائق كما هي لا أعتقد أن عمليات الإغتيال قامت بها الدولة أو ج…	,0
كول هوا ابو وجهك	,1
بربحك جميل من كيسك انو ناوي يعمل شغلو	,0
عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂	,1
آلوزير جبران باسيل وزير لبناني فقط لا غير	,0
بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب…	,1
وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان 	,0
كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق … 	,1
اكل الهوى للواطي دواء الله يشفيك 	,1
لا كل الثواار كلاب متل النظام هيك جملة سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف؟	,1
اباقاش تسكت وله ، اسكت يا قرد العقاب لوهاب وهاب قاتل ابو دياب 	,1
للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف 	,1
سوف تبقى سوريه وفية ومنتصره رغم كل الاوجاع وتبقى صامده في وجه الاعداء سوريا التي حاربت كل الدول العرب… 	,0
على الرحب يا جماعة السدس   	,0
مهما تستأجر أشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه… 	,0
وقت تشوفوا و تسمعوا جبران باسيل متل لما الشيطان يسمع كلام الإنجيل	,1
كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيي… 	,0
أذا جبران باسيل يقودكم والجاهل شيخ الجاهلية يصفق للقرد       اكيد بيكون ي…	,1
أحقر جريدة بل الوجود	,1
رزق الهبل عالمجانين آه يا هبيلة 	,1
لما تعلق كل يوم بعجقات سير خانقة لازم تفرح وتتذكر إنك عايش ببلد منتج وقوي اقتصادياً ومالياً وقوي اجتماعياً ومعيشياً وكل شي فيه قوي، أجلّك 	,0
ما تفضلت به يا أخي هو منتشر منذ عقود ومنذ قررنا كلبنانيين أن… 	,0
والله لو في دوله ما تركتك انت ورئيسك 	,0
يجب محاربة الفساد 	,0
خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة	,1
متل نبيه بري 	,0
اننا موحدون توحيديين إلى يوم الدين ✌ ✌ ✌  	,0
يرحمها ويصبر اهلها	,0
ولك استحي بقى ما في عا لسانك الا سوريا 	,1
يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي 	,0
وشو بتحب نقلك يا تافه	,1
وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد شعب واعي… 	,0
ضيعان الفهم يا دكتور ؟؟	,1
طيب خلينا بالنص ايران كاميرون	,0
وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها 	,1
بيكي أندرسون تسأل جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها بردية زجل عن الشعب اللبناني العظيم…	,0
مين جاب سيرة عقدة أغلبية الشعب اللبناني جبران باسيل؟    	,0
نصرالله كلام وزير الخارجية جبران باسيل عن ضرورة حل مسألة اخفاء الإمام الصدر كان مهماً	,0
قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف 	,1
يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع… 	,1
كلمة جبران باسيل أخجلته وأخجلت كل الأمة العربية	,0
فعلا زمن الرويبضة ومناسب جدا 	,0
يا عمي هيدا الزلمي جاهل	,1
العاهر الكبير عون…	,1
صباح جميل كجمال قلوبكم 	,0
وانت وبيك شو حقك فرنك فرنسي يعني ولادولار 	,1
دبي رزقها الله ب محمد بن راشد عمل على تنميتها وإدارتها كأحسن ما تكون التنمية والإدارة زرتها قبل س… 	,0
هذه عمامات سوداء طلبت بالابيض 	,0
صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب	,0
مرحبا يا رجال قلعة الممانعة، بيسلم عليكن ابن رامي مخلوف من دبي وبيقلكن اصمدو وموتو كمان شوي جاي الصيفية وسفرت الكوت دازور مكل…	,0
ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل   	,1
يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟ 	,1
فهمتوا يا حقودين يا جماعة الحركة	,1
انت صنفتو بخانة الخيانة وهيدا رد على ردك ومش كل الادوية فعالة وان شاء الله الكل بيفتخر بشهادة الحريري	,1
هذا ردي له نعم انا سعودي    وكلي فخر راسي فوق أنتم ما قهركم وداعس على روس… 	,1
ال ً مبلشين من الليلة بالحملة ع جبران باسيل ب منا وجر	,0
هي و صرمايتي سوى 	,1
ربما يكون عماد عثمان بمثابة صندوق اسود للمشنوق 	,0
سليم عون لا يستطيعون التصويب على ​الرئيس ميشال عون​ فيصوبون على رئيس التيار ​ جبران باسيل​ او علينا، لسنا مكسر عصا لأح…	,0
دائما انت على حق ❤ 	,0
خليك بي الجاهليه لانو ما الك الى الجهل تبعك قطر ام العرب وام لبنان وستبقى قطر والخليج اسيادك يا فار من العداله 	,1
ياريت شعبك بيسمع واذا سمع يوقف واذا وقف يحدث الفرق شعب لبنان تعبانة 	,0
ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك 	,1
الوزير جبران باسيل كان اول من طرح موضوع عودتهم الى بلدهم ليس انطلاقاً من موقف عنصري، معتبرا ان الجميع لاحقاً التقوا على ا…	,0
دئما يلحق بك الدمااار 	,1
كل الميليشيات تكتلت تتواجه جبران باسيل مش غريب ما حدا قدر يلاقي دليل يحارب جبران فيه؟؟ مياومو الإعلام	,0
احييييي يا قضاء 	,0
هل انت سياسي بالبلد او لأ ؟؟ 	,0
وطننا يحتاج الى طبقة حاكمة غير فاسدة 	,0
لا صديقي مو عيب واحد قاتل وواحد اداة بيد قاتل 	,1
احضر لي تصريح واحد تقول فيه اسرائيل سأحرق ايران و الايرانيين و لبنان و اللبنانيين او سوريا و السوريين …	,0
يلعن روح حافظ ابن ستين الف كلب، دمرت البلد وقتلت مليون وهجرت ملايين وتقول قد ، قد لا يكفي اعدامك لمرة واحدة	,1
الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعية من بلدنا ليرجعوا النازحين يلي احتليتوا أراضيهم وهجرتون يا مجرمين	,1
لو سمحت واحد صالونه لحم وعيش شلاني وواحد سف اب 	,0
و هو بذاته يلي عمل فتنة بالبلد و هو كمان يلي بيستخدموا نظام الأسد مثل الدومينو و هو ك… 	,0
الرجل ما قال امن اسرائيل حق ، نصيحتي للوزير جبران باسيل يحكي اللغة العربية بأية مق…	,0
كول هوا مش شغلك	,1
عايشين على اشحاته هذا طبع اشيعه يعشون مرتزقه 	,1
اشبو ذا يسجل كول حاجه تراها مباراه مو محاضره هوا	,1
يا ياسين الزلمه ما عندوه سيوله اخذت منوه بدوه حدا يسكت تمه بشوية مصار… 	,0
جبران عفلق، حبش الخ على الطريق	,0
جبران باسيل جمع يلي ما بينجمعوا    	,0
نتائج كتاب العدل تجربة رائدة لم تأخذ أي حساب طائفي أو مذهبي وهي تجربة يجب أن تعمم مبروك لوزير العدل وللجنة القضاة هذا الإنجاز 	,0
فعلاً لا يناسب الا زماننا، في زمان على فيه صوت الرويبضة، لكن عندما تحين الساعة سيعود كل الى حجمه ولو كا… 	,0
فهمان خدمه الناس غلط   	,0
شو بدك من علاء الخوجة؟ ما تعبت وانت تصرخ عليه انسى الموضوع ما رح يعطيك مصاري 	,0
سوف يتحاسبو جميعالان الحق سلطان 	,0
سبحان الله تقولي حقيقة	,0
ستموت بحسرة الخواجه ولن يعطيك شرف التحدث معه وابتزازه ايها الازعر السفيه ضبضب 	,1
جبران باسيل لل ربما علينا أن نعلم واشنطن ولندن كيف يديرون بلداً من دون ميزانية	,0
زحيف 	,1
ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر	,0
شو راي العماد عون بتعليقك 	,0
لك كانت صفر صفر رحت طالعت الكلاب يشخوا كم دقيقة رجعت	,0
كم سهرنا من ليال للصباح لا ننم	,0
لو بتخفف بس كنت اول المعجبين بقطر بس دعمت لجنوب وعمرتو بعد حرب تموز أو اخدت من لغنيمه وس… 	,0
كلمة جبران باسيل في القمة الاقتصادية تحتاج الى سدادات اذن	,0
جبران باسيل لا يقل عمالة عن حسن نصرالله	,1
انا اتمنى سليمان فرنجية لكن شعوري بان جبران باسيل سيكون الرئيس القادم	,0
في مواقف وزير خارجية لبنان جبران باسيل المؤيدة لبشار الأسد ما هو أبعد من السياسة التفسير في الطائفية الفاقعة التي يصدر ع…	,0
شيلللللل للفهم    بس ما قلتلنا انت عمين محسوب عل عاهرات او السياسيين 	,1
خليك مخبأ ب الجاهلية 	,0
جبران باسيل مهضوم كتير قال بدو يعمر سوريا و هوي ببلدو لبنان مش قادر يعمر مجرور	,1
عن أي دولة عم تحكي؟؟ عن عهد التبعية والفشل والجرائم والفساد والصفقات يللي عحساب كل المواطنين ، العهد يل… 	,0
ههههههههههه كول هوا	,1
انتو يا جماعة اوسكار ما خصكم بعلاقة جبران باسيل فينا	,0
جبران باسيل يؤكد جرأته مرة اخرى بحديثه في المؤتمر الصحفي مع ابو الغيط عن تأثير الدول الغربية على قرار القُمة السابقة ب…	,0
وفد     يا زلمة شو هال مسخرة انت؟ 	,1
صباح الانوار انا بس عّم حاول افهم 	,0
البيوت الحمرا بل المرجة ، والجامع اشرف وأطهر منك	,0
هيدا الصحيح سلمت يداكي 	,0
انا بقول الحق على جبران باسيل   	,0
تلات رؤسا متقاسمين الصلاحيّات، أكبرهم سنّا ميشال عون ما بيتدخّل بشي بس بذات الوقت توقيعو أساسي لنفا…	,0
انو بشرفك الكاميرات ما كانو شغالين 	,0
لما تقلّك أولاً مش طايقتك شو إلو لزوم تانياً؟ 😎 	,0
شيء خطير هذه المقالة الأولى 	,0
يحتاج شعب جديد، الى ثوار 	,0
اخرس يا أيها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس إلى مزبلة التاريخ 	,1
انا وعم بحضر عل اليوم اختصاصية تغذية لاحظت شغلة ليه كل اختصاصيات التغذية بيحكوا بنفس الطريقة؟ 😀	,0
شو قصتك انت واللواء عثمان ،، لهالدرجة قاهرك ما في تغريدات الا عنه وعن الشيخ ، 	,0
لو في دولة محترمة واحد متلك اطلق النار على قوى الأمن كان مكانك بالسجن أقل شي 	,0
وهاب يتحدّث عن انجاز يسجّل للرئيس عون 	,0
يا جماعه اللي بدو يدعي او يكبر او يصلي او يختم القرآن بإمكانو يعمل كل هالحكي بعيد عن تويتر بنوبكون ثواب اكتر لأنو الرياء با…	,0
ويل لامة تولي عليها مجموعة من الأرذال 	,1
للاسف يا عزيزي نزار زكا لايملك المال وإلا كان تحرك جبران باسيل كما فعل بخصوص كارلوس غصن	,0
أول شكر كان للوزير جبران باسيل شو رأي الشباب ؟ بتوقيت نصرالله	,0
مستحيل يكون في اوسخ وانجس منك بالكون يا ديوث 	,1
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك	,1
شكرا لكل الأبواق المأجورة وغير المأجورة في افتراءاتها اليومية على جبران باسيل أمنتم له شعبية ما كان ليحلم بها الى…	,1
صباح الكسمك يا ميونخ يا مدينة خرى بنت وسخة	,1
لبنان علّم العالم الأبجدية وكيف بيمشي البلد بلا دولة	,0
ما عطيوك شي غرفة فيه بلاش 	,0
ليش مننفهم انو نحنا حاقدين عالعالم لأ يا جماعة القصة وما فيا مألهين جبران باسيل وشايفين حالنا فيه وبفتكر بحقلنا لاقوا اذكى…	,0
يا استاذ وديع انتم جماعة مثقفين معهم لا ينفع اي شىء حرام ان يكون لهذا البلد رئيس مثل العماد عون ومثل جبر…	,0
انت حثالة	,1
حماك الله   	,0
اي يعني شو بدي قلك، علمهن ت يعيشوا بالبحبوحة زي…	,0
جبران باسيل كم جميلٌ مثلاً ان نخرجَ على شعوبنا، بسكّة حديد تربط بلداننا، بخط غازٍ يأخذ غاز لبنان الى العراق ونفط العراق الى ل…	,0
الإرهاب السعودي إلى مزابل التاريخ وكل مين بشد على مشدها السؤال لماذا هذا الإستهتار ويجب على سوريا… 	,1
يعني لو الست ديما كتبتاعتذر عن الخطأ كانت وفرت علي ما لا يقل عن ميغابايت من عجقة التايملاين الناجمة عن احصائياتها الخزعبلية	,0
الاسود للحريمات؛الفوشي يليق بي	,0
لو في دولي ما كان بعدو عماد عثمان خارج السجن 	,0
انه انت بتحكي لتحكي؟؟؟مين جاب سيرة الهبه؟؟؟؟كل الشعب اللبناني الواعي والمثفف عوفان انه واديعه بس انت ش… 	,0
مش شغلتي حبيبي فاضح حالو بلا جميلتنا    بس عجبني تفكيرك   	,0
وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد… 	,0
وهاب مع الحكومة الجديدة يجب أن يكون ملف إقالة اللواء عثمان على الطاولة لبنان 	,0
ايييه هيك حلم جبران باسيل بدو يعمل هيك	,0
هو فقط قال الحقيقة ما قدمت قطر للبنان ليس منحة ا دعم او هدية ه قرض بنسبة 	,0
جبران باسيل لم يقدم هو يأخذ فقط بتحط نفسك بمواقف بايخة  	,0
قبل ما تترحم وسام الحسن كان مشارك بقتل الحريري والحريري كان عارف ومن اغتاله للحسن حتى يأخذ ثئاره لوالده… 	,0
ما بأثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب… 	,1
لاتعرف اسئل حزب الله وخروفه باسيل 	,1
قل كلمتك واصمد وهاب ما بيهاب 	,0
لا تفرد ولا إلغاء نعم لتحرير الطائفة من براثم الاستبداد 	,0
وأكبر دليل للي بصدقك يا ابن شعبان 	,0
مافي غير جبران باسيل الي عم يلعب ب النار تحت مرأى و مسمع رئيس الحكومة	,0
اكيد خلف ومات بس شهيد يا فهمان	,1
كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   	,1
روح عَ دمشق يامان شو بعدك ناطر هههههههههههههههههههههههههههههههههههههههههههههههههههه       	,0
قويية   	,0
انا اكتشفت ان اللواء عثمان داعس رقبتك وراسك بصباطو الرسمي يا حمااااااار 	,1
لو ما في سلاح حزب الله كنّا شفناك بالسجن كنّا شفناك عم تتحاكم لانك قتلت محمد بو دياب كنا شفناك متل… 	,0
شي بيهوي	,1
هههه موتي بغيظِك لكن 😎	,1
أمّا علاقتنا مع جبران باسيل فهناك صداقة بيننا وإ…	,0
سينهار اكثر وأكثر لطالما نموذج وئام وهام موجود في مجتمعنا 	,1
اضف الى ذالك انه داعم لايران وحزب اللات 	,1
ارفعوا العشره مشكلتكم ما الو خص علاء الخواجة يا صاحب الصرامي 	,1
انت بدك طبيب نفسي 	,1
ليك يا وئام وهاب سماع شو بدي قلك كل يوم عم تحكي على دولة لكانت للغرب أو للشرق وهني مع بعضهون بألف خير ب… 	,0
والله الحذاء خساره فيهم 	,1
كول خرا عقبالك لما تجيك صرمايي بخلقتك 	,1
انت متهم اول لانك اكبر سرمايه عربيه 	,1
جبران باسيل رجل عنيد يطالب بإسترداد حقوق المسيحيين التي أخذت منهم في الطائف لهذا هو مكروه من ترويكا الطائف والفساد	,0
جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين	,1
جبران باسيل من حق اسرائيل ان تعيش بسلام بين جيرانها وبالامس من حق اسرائيل ان تضمن امنها	,0
كول هوا ما حدا غير امك مركبه راس حمار	,1
لك يا رافعة معنوياتي انتي	,0
قديش صرت كاتب سمعت شي مرة البيك تطلع عليك او رد يا مفتن الطايفة يا ابن شعبان؟ الله لا يوفقك كما قالوا… 	,1
كول هوا خسرتو بأرضك وبين جمهورك بعد ما منعت القطريين من تشجيع جمهورهم انتو فاشلين في كل شئ وهم متفوقين عليكم في…	,1
اصمت أيها الذبابة المريضة العقاب لوهاب وهاب قاتل ابو دياب 	,1
مهما تآمر المفسدين وتاجرو بأسم سيعرف العالم بأنهم عملاء متصهينين 	,1
كول هوا انت ودانيال	,1
والنعم من تربيتك 	,0
شو بدك بأسمي أحترمي حالك وأحترمي ديننا الشريف وتوقفي عن الكذب وقلب الحقائق والتغطيه على من ن… 	,1
يلّي بدّو يجيب سيرة الوزير جبران باسيل بالعاطل بدّو يسمع كلام أوسخ من أعمال حركة أمل	,1
نص البلد من رأيي يا سخيفة	,1
والله انت من يحتاج الي طبيب نفسي وعساك ما تطيب 	,1
كل كلاب ال سعود مكانهم قفص القرود 	,1
خصوصا ان سي ان ان طردت	,0
وانت شو تعتبر حالك وانت موالي لهذا الحرباء جن بلاط ههههه 	,1
لايام جاية راسكن بلارض راح يكون يا عملاء إيران 	,1
جبران باسيل، بتحبو او بتكرهو، ما فيك تنكر انو قبضاي وببيض الوج كوزير خارجية سيادي وطني لكن تبقى مشكلتي معه ان حزبه يؤب…	,0
ههههههههههه يا هبيلة مين جاب سيرة تميم وقطر غيركانت بتقول إنو أمير الإرهاب طميم 	,1
تشتهي تشوف صرماية مقطّعة من شحاحيط السلطان يرد على كلامك؛الشحاحيط حافظين الكلمتين الخرا تبع عرب الشمال و اللاجئين المشردين و بس تتكلم أي كلمة ما تعجبهم لازم يطقعوها من زلاعيمهم مثل الجواميس تفه على شرفك اذا عندك جنس الشرف	,1
وما تنسى انو الشيخ نعيم حسن هو الشيخ العقل المعترف به من الدولة ومن الحكومة ومن الزعيم وليد بيك جنبلاط 	,0
معالي لبناني وطني مش سعودي ليسافر 	,0
ومبعوصة من انه الديمقراطية مترجمة من الـ وبدها الملسمين يقولوا شورى طيب يا قلبي الشورى عند داعش والسعودية احنا بدنا ديمقراطية يا كندرة	,1
فالرئيس السوري يثمن ويقدر مواقف فخامته ووزير الخارجية جبران باسيل التي تنبع من رؤيتهما الاستراتيجية للصراع في الشرق الاو…	,0
بدك تعمل برنامج ينجح؟ حكي عن جبران باسيل مياومو الإعلام	,0
كيف بيقدر هالحكم يعلك ويصوفر؟ 🤔	,0
البلد عم ينهار بوجود العهد القوي وليكو عالهبيلة العوني وين راسوا	,1
هيييششش هيييشششش 	,1
منذ الثامنة صباحاً و أنا أتابع خبراً عن تطورات قضية خاشقجي على قناة الجزيرة،و لسة الخبر ما خلص حتى هازهي اللحظة	,0
واضح ان السيد نصرالله الليلة بكلامه يرمم العلاقة مع التيار الوطني الحر	,0
وهذا ردا على شِعرك وشَعرك يا اصلع وزارع الشعر المستعار  	,1
الله يلعنك ويلعن الي ما بيلعنك 	,1
فيلم فاشل يا تعول الأفلام والكاميرات المعطلة	,1
وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم نعد… 	,1
قال تعالىمن عمل صالحاً فلنفسه ومَن أساء فعليهاولاتستوي الحسنة والسيئة ادفع بالتي هي أحسن وقل سيروا… 	,0
لابارك الله بك وبامثالك ياهذا 	,1
قهرني الله يقهره   	,1
كول هوا ماخدا ارهابي غيركن	,1
يا ريت نفوسنا بجمال ونظافة وطنا شو كان عبالنا المشكلة مش بالوطن أستاذ وئام مشكلتنا بالشعب ثم بالدولة… 	,0
كل ما عنا صلاح بهل طيفه من مشايخنا و ليد بيك لا خوف من ابواق لاسد و تصحيح وزير سابق في حقبة النظام ال… 	,0
عم تحكي بقلوبنا دايما ✋ 	,0
شي مفتخر للأمانة	,0
لا ما حدا عم يزايد عليكن بالمقاومة انتو مقدمين الاف الشهداء و اسرائيل بتحسبلكن الف حساب بس جبران باسيل أخطأ بحقكن و حق…	,0
عندما يقال يا شحاذ يظهر لك باسيل جبران	,1
وزير الخارجية اللبناني جبران باسيل امير قطر كسر الحصار على قطر في بادرة لكسر الحصار على القمة العربية التنموية القمة ال…	,0
الله يلعن لي بشرت فيك وقت خلقت	,1
قدح وجم اذا ربحت رح اعطي نص المبلغ ل جبران باسيل	,0
احساسي انو كان بدك تقول ضابط سوري مش سوي بس يمكن لأنو بعدك بلا غدا و جوعان فأكلت ل اعترف اعترف   	,0
دعهم يتلهون بفتات الاخرينلنا زعيم قائد وشيخ عقل ولا نعترف بمن لا يجرأ ع… 	,0
مع انك قذر وواطي بس اوافقك الرأي 	,1
الخلع والكسر يستخدمه ابو منشار الأخرق في كل مكان يا جربوع	,1
الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانيين إبتداءً بإسرائيل أبو عمار ناصر حافظ معمر صدام الخميني… 	,1
الروس المفروض ينشهروا بالوقاحة مو بالڤودكا	,1
الله يلعن الإخوان المسلمين و بلي بذرهم للمرة الالف على التوالي أُناشد رئيس كوريا الشمالية المحترم كيم… 	,1
جوز كذابين منافقين…	,1
مين هالشيخ ،، ومين وهاب ومين طلال ،، مع بعضن مش مخلصين لا بالدنيي ولا بالآخرة ،،… 	,0
لا تندهي يا رابعة ما في حدا 	,0
بالتأكيد جبران باسيل سيجعل المسيحين ينسون شيء،واعتقد سيكون الحليب الذي رضعوه	,0
السنّة مفهوم، بس الشيعة ليش؟	,0
ابنك ذكي يا ثريا بس حمار العقاب لوهاب وهاب قاتل ابو دياب 	,1
ضرط الزمان على الاندال فعلاهم 	,1
هاهاهاها هاهاهاها عنجد حبيبي شو عم تحكي والله يا بيبي انا ما بعرف شو يعني صهيوني بس شفتو… 	,0
شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح ألا هذا الشخص للتذكير وئ… 	,1
مش مهم متى حصلت، ولكن هذا الفعل نحتاجه في لبنان بشدة من أجل كل ألسياسين بدون إستثناء من كبيرهم إلى صغير… 	,0
لا انت ولا معلمك فيك تدق بصرمايته يا صرماية عتيقة 	,1
يخرب بيتك ذو ذكي من أي حظيرة حيوانات فلت هذا البغل؟؟؟	,1
آخر فضيحة	,0
لازم يلغي هالنظام المعفن الكائفي الذي لا يستولد سوى طائفيين فاسدين عفنين 	,1
سعد الحريري من يوم يومه يخدم الناس سعد الحريري رجل الاعتدال والانسانية والكرامة لو لا سعد الحريري لكان… 	,0
ليكو بيكتب عربي هايدا شو اسمو ايه والله لك ليخرب عقل لشو بدك فيما تقلع على حالك و خليك باليت 	,0
