text,toxic
البلاد قتلتو الفرحه قتلتو الزوالي قتلتو المتخرجين كملتو قتلتو لملايكا يهلكم كرهتونا هالعيشه,0
برا لجماعة الجنوب الصحاح جماعة لمدينة حاقرين دينهم,0
يا أم العيون الخجْلا يا نبض <>صدر نجد العذّيه 🌿..,0
 : هيلا وهيلا وهيلا يا حلولو يا كبير العيلة .. مترستق خالص ع الكرسي وبلدنا في إيدك شخليله,1
 اشكال فردي وفيكي تسألي رامز القاضي كان معو شخص من هونيك وحكى على المباشر. دخيلك يا رامز وضحلا عشان هيك… ://./3,0
هيك قمة بدها هيك مستويات من الحضور,0
 الثورة بخير طالما في صحفية أحرار متلك ست ديما,0
جداتك وباباها وخاوتها جزايرين نت نت تونسي خطاك,0
ليك يا جربوع يا صرمايه يا واطي بس يخلص فلمك بدن بحرقوق حرق وتصير تولول متل النسوان وينك يا عثمان دخيل ا…,1
نحب نقول إل معزى بري شوفي وجهك مرايا متوسليش ضفر صبع كريم غربي تونس كولها كريم غربي,1
 ما تلتفتي للحشرات ست ديما. انتي صح وضلك مكفيه. الله معك,0
يا فاريس كول هوا… وريح حالك ترك الهبل وروح جرب فهام رجاع حضار حلقة مبارح واذا بدك لان كانت عل…,1
ابنك ذكي يا ثريا بس حمار العقاب لوهاب وهاب قاتل ابو دياب,1
@User.IDX صاحب الكلب المتخلف و الحارس اللي ما منه فايدة ,1
كلمة إرهابي شرف إنسان حر أمريكا وحثلاتها هوما خترعو يسموا أعدائهم بالإرهابيين,0
نمت ساعه وكل شيء احسه يا أرق يا ابن الكلبة مو وقتك ورب البيت مو ناقصتك,1
نذالة بذاءة الحديث نذالة بذاءة عفونة الفكر الحداثة حقوق المرأة تطبق تونس أحب أحب كره كره ماعجبوش يمشي لأفغانستان الصومال يطبق الشريعة,0
 ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه صدق يا اغني يا اخليهم يشغلوا صوتي :),0
"_  اذا فركوحين ونص ومش قادرة تفتحي طريق 
وبخصوص � خلي الك بفيدك اكتر يا روح امك انتي",0
 الله محيي البطن يلي حملك انت الصوت الصارخ في الوطن الوطن يلي بدنا ياه مش وطنهم المزور والمعبى كره وحقد و… ://./41,0
هذى مريم الدباغ جنسية تونسية هذى تطلع جاسوسه اعلام المجارى يدعم بامين روقارا تفوه الزوز,0
 : يا جعل ما يفرح غيركم يا شعب الاتحاد العظيم يا جمهور الذهب يا أجمل جمهور على وجه الأرض عقبال فرحة البقاء و كاس الملك💛💛💛💛💛,0
مايا لقصوري ارجل مزابيط العياري لمسخ,0
المقيم الفرنسي يعطي الاوامر تحبو الموبنة عجلة تونس سيب لوغة حقوق الانسان خليتونا تحن نظام ديكتاتوري ونتم تصفقو خماج تفيه,1
 مدام ديما اذا ممكن تسألي شي خبير اقتصادي مدى قانونية الهندسة المالية التي قام بها حاكم مصرف لبنان لتربيح… ://./097,0
@User.IDX صيااح قطر وقناتها الخنزيرة مرتفع جدا 😂😂😂 <url> ,1
اننا موحدون توحيديين إلى يوم الدين ✌ ✌ ✌,0
 اخرسي و ما بقى تسمعينا صوتك!!!!,1
بالرسمي مريض هههههههههههههههههههه عباد وصلت وقدمت وأحنا مزلنا ورا البلايك قدام البلايك ههههههههههه,0
اللهم أرنا أصحاب الحرية المزعومة يوما أسود,1
ايييه هيك حلم جبران باسيل بدو يعمل هيك,0
صحيح القانون المساوات تونس البلدان العربية الاسلامية الرجال يخشون تمردو المراة يستولي الميراث بحجة الحق يطلق ويرمي بزوجته واولاده خارج المنزل ليعد الزواح يرمي بامه اخته الشارع ويهرب مسؤوليته زوجته اطفاله يدخل السجن بتهمة دفع النفقة واكثر دليل الحصص الاجتماعية مرت القناوات التونسية منقولك اقول القانون يضمن للمراة حقوقها,1
ينزل النعلة الدين الملعون وانتضر عاقبتك,1
اشد اعداء الاسلام انزل محمد يسمون بمفتيين وعلماء اراضي المسلمين اشد الناس شباب الجهاد ويفتري ويطلق اوصاف براء لارضاء اسياده اذناب الغرب حساب فتنه الناس الدين وجعلهم عبيد العميل واخفو عنهم اهم عقيده الاسلام الولاء والبراء وشروط صحه اله الاالله ونواقض الاسلام وجدت شابا تونس يعمل بلاد الحرمين وحدث نقاش بيني النصاري ليسو كفار تربيه العلمانيه وهؤلاء يتأثرون بالمرجئه مرحله بشبابنا اريته الدليل إ الل ه ه يح اب يح إ ائ يل اع الل ه إ ه الل ه الل ه ه الن ار لظ نص ار يقتنع بكلام مسلم يقتنع بكلام فعرفت حجم يعانوه اخوتنا السلفيين البلدان حرب كلاميه واعلاميه وعسكريه وطعن وتزوير يريدون يتحرر المسلمون تونس قيود العلمانيه الكافره يعرفو العلمانيه والكفر بصفه عامه يستويات فإما تحكم بشرع بشرع ابليس فأقول لاخواننا الثبات الثبات الدين يحتاج رجال اشداء الشئ اتعجب المفتي المشرع للعلمانيه يستطيع يخدع شعب بأكمله يعلم يكتم يعرف الحق ماهذا الضمير الشيطاني تجدهم محل اشداء اخواننا السلفيين رحماء الملاحده ملل الكفر انتشر الاسلام بفكركم الضيف الهزيل المستضعف المهزوز بفكر الشباب المجاهد الثابت الصابر طريقتكم طريقه رسول والصحابه والتابعين,1
" اللي عم يسبوكي هنيي ناس طاءفية  لازم ينشرحلون شو يعني    
كل  ما انسان بيخالفهم الرأي… ://./4",0
@User.IDX مرتزقة قناة الخبث والخبائث هذه مظاهرة ضد إعادة الإنتخابات لم نراها على شاشة الرأي والرأي الأخر <url> ,1
 اللي عملتوا اليوم مراسلة الجديد نانسي السبع هيدا اخبار ذكرتنا يوم نديم قطيش قال للناس ياشباب وياصبايا ي… ://./,0
 : رفعت كفي نحو عطفك داعياً <>وعلمت أنك لا ترد دعائي <>يا قاضي الحاجات ، يا كاشف الكربات ، يا مجيب الدعوات ، يا غافر الزلات <>عافن…,0
يا ريت ايري فيكي 45 ألف مرة ,1
والله لطفي خسرت إنسان مليح وقلبه صافي خسارة,0
رحلاتك درجة أولى وفنادقك فخمة وسواق مع سيارة فخمة وتقول الوضع المالي متدهور أجل حنا وش نقول💔 ,0
ٱلأقصى دونكم يا يهود.. حتى وإن أقمتم العساكر والسدود.. نعم إعتراف بائس.. من قبل مخلوق يدعى ترامب.. ليمنع الركوع والسجود...... هيهات..... هيهات....... ستبقى الصلاة في الاقصى دائمة... أبدا ما دام الكون موجود..... أتعلم يا مخلوق ترامب.....!!!! ؟؟؟؟؟ انت يا من أعلنت إعترافا..... ان للبيت #رب. هو القوي القاهر فوق عيادة وحتما .... يبطل ما تريد....... ,0
جبران باسيل قال ان لبنان سيلعب دور رئيسا في اعادة الاعمار في الدول العربية عندما يخرج رأسه من زبالة بيروت يستطيع…,1
صباح الخير يا مصحصح يا عسل يا ورد متفتح<>انا أبى نهاري خير قلت برقمك اتصبح<>#صباح_الاثنين,0
سبحان الله وين ما بروح بياخد الخراب معو شو هالبومة هيدا ولك شو هالغراب انشالله يهرب عالسفارة و يبعتوا عاسرائيل…,1
 نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,0
حمار يطيحو ويكفرو ويهدرو وحده هوما جهل الفتاة اكبر الكفر بالله وتطياح ابنائهم,0
قالتلو نأمنش بالاغلبية علابالهاش الرسول صلى وسلم يد الجماعة,0
 ابلع بلوك يا قمامه يا جزمه يا زبال يا بزر,1
 توقعي بسكتة قلبية وما حدا يلمك,1
شو بيعملوا السوريين في اوروبا والمخيمات ،جايين رقص وشيشة وطلب لجوء انا اتكلم عّن الشباب لماذا لا تذهبوا تدافعون عن عرضكم وأرضكم يا جبناء ،لماذا تتركون ارضكم للمجوس الرحمة الشهداء والعزة والقوة للرجال الذين يدافعون عن بلادهم ,1
جبران منافق و ما في داعي تعملولو تجميل و تضلو تدافعو عنو لان بالاخر رح تاكلو الخازوق,1
انا بقول بعلبك بتربح المكسيك 😁,0
اسمحلولي المخ تونس يسحقها هتلر ادير الصابون جايحة متعرف تهدر ماشابة ماتدخل القلب عندو الحق صوت المراة عورة الغناء مزمار الشيطان,1
جلاب انذال الله يلعن الحشد الدموي ,1
لا يصح الا الصحيح التحيّه والأجلال لمشايخنا الحقيقيين الملتزمين بديننا الشريف فوالله الروح بترخص لكم أيها ال…,0
انا بقول الحق على جبران باسيل,0
تريدون النقاش امور تناقشون المهر وتكاليف الزواج والنفاق الطلاق والامور يفعلها الرجل للمرأة تصبح تفعلها المرأة للرجل اغبياء لاتوجد عدالة عدالة الخالق بالدلائل العلمية الدينية,0
ونجومو وقمرو.. قمرو وسهرو.. وانت وأنا يا حبيبي أنا يا حياتي أنا.. ,0
 : إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق ,0
" انوا مش وقتها. 
دايماً الوضع حساس و مش وقتها",0
  بلوك يا برنس يا خويا ومالوا مش عيب 😀,0
  وأنا شو فرقانة عندي عيد  ميلاد نادر. هبلتك كبيرة.,1
نطالب بحلقتين في الأسبوع 😎 ,0
تضرب منك اله، الغريب هو شيخ عادي من المشايخ عنا ونا بيمثل الا بالمية من الطايفة، ما تسأل وين راحوا ا…,1
لا ينقص بيروت قمامة حتى تأتيها قمامة قطر,1
 يلاااا يا حمار يا غبي يا غبي يا ابله 😂😂😂😂😂😂,1
دخيج أنسان مكروه الحومة ولاد حومة عماد,0
هما بيعملوا ايه !! انت يا حيوان انت يا اطرررش انا بسقط هنااااا ,1
 : موسم صفري يليق بعمل ادارتك في الشتوية لعنة الله عليك وعلى من جابك تترأس الاهلي يا رمه يا بكايه يا فاشل ,1
ساعات نقول نبيع تاليفوني ونشري معزة أرانب نربيهم ونشيخ الأقل نستنفع,0
 انتي شكلا الخسّة براسك اصفرّت وصار بدّا سوكلين,0
 قناة الثورة التي تعطي صورة رائعة عن لبنان من شماله الى جنوبه,0
مايا تكبر تحلا بثقافتك تحلا تحلا,0
نيك أمك ولد القحبة راضي أمك وأختك وبنتك نصف إنسان وكرامتها مداس,1
حاط مخي فرق أبيض أسود خالطت السود شفت تصرفاتهم رسيستية معقدين لونهم الأسباب عديدة المجتمع يغزرلهم رغم أني أقل لأحد كحلوش تقول أسمر نخفف ماكس حقيقة دينا فرق أعجمي أعربي بالتقوى هات يفهم شرتين,1
اكيد مش عن طريقك لأن هيئتك اقرب لعزرائيل,1
@User.IDX إيران لم تحتل سوى الشعوب الجبانه من العرب 😂😂😂😂😂 ,1
الويت وكورز في جيم اوف ثرونس ، انت متابع بقا 😂😂💙 ,0
 انتي يا شريفة مكة، يا ديمافارا الثورة، كنتي تستقبلي نص هودي السياسيين يلي عم تسبيون عالعشوات و الغدوات #ديما_الواطية,1
يا يا يا يا تريكة ♥️♥️♥️<>انا فرحان بالصورة دي اوووي ♥️♥️♥️♥️<> 🙏♥️♥️♥️ ,0
ينزلون ايات انزلها الكفار المسلمين ويخالفون اهل العلم المعتبرين,0
أشهد إله أشهد محمدا رسول أرأف العبد رب ه حر صفة الظلم الحق,0
@User.IDX قاهر الحمدين والنظام القطري نظام عزمي وأزلامه <url> ,1
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة,1
@User.IDX اشم رائحة خيانة. أكيد نظام الحمارين هم السبب لتعطيل الحركة. ,1
متشربين العنصرية لدرجة إنّو حتى لما بدهن يحكوا شي متطور وتقدمي بطلع رجعي وكريه,1
يعطك عصبة دورت الموضوع للناس عصبة راسك وراسهم سراهم وراس خويا ايدكم زبي والكرز هاذم لاني ناقم كبول ربي عطانا عيشة راضيين,1
منصور عمر بني تعرف لوطفي مليح مليح دخلك الأشقاء التوانسة وحدهم يعرفوه احسن امشي روح تبيع البطيخ,0
مين انت بس؟؟؟ على كل حال هيدي قطر يلي ابو لفة تاعك حسن كذاب فلق سمانا بلوحات شكرا قطر أو نسيتوا يلي بيسمعك بيقول…,1
@User.IDX الخنزيرة تقصد مرتشون أمريكيون .. شنهي اخبار المرتشي حمد بن جاسم مع بنك باركليز يا قناة العهر ؟؟؟؟؟ ,1
  ايش دخل المبايعة والسمع والطاعة يا هطف يا ثور الله في ارضة😏,1
من خلال بعض المعلومات والتسريبات التي حصل عليها أصدقاء الحركة اللبنانية الحرة أكدوا لنا أن كلفة تغطية طلة وزير الخارجية جبران ب…,0
ع قولة اخوي ميسي كويس بس اللي حواليه عرصات,1
شعوب مرتزقة، أين ما يحل المال تركضون وراءه ولو على حساب شرفكم,0
بشار قتل المتظاهرين السلميين وقتل الشعب السوري 😢😢😢😢راحت سوريا وراح الشعب العضيم ,1
طيب يا عاهة جرحى مو معناها من المعارضة ممكن يكونوا مدنيين كمان 😂 وانت لو ماكل شظية بتروح بتتعالج ولا بتضل قاعد لحتى يصفى دمك وتموت؟ 😂,1
نيك السلام زبي الناس منيش مسلم معنديش الحق نعيش هالبلاد القحبة متاااااع زبي,1
 1:  يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,1
حكي وما ترك ثغرة اول مرة بحس فيه هيك رواق ع الاخر وبصراحة اقوى رسالة بعتها هي لما شكر جبران باسيل ول…,0
علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد,0
ازاي يا حبيبي يا عمري يا أغلى الناس في عنيا ؟,0
